SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Boston Celtics,Indiana Pacers,4,0,2,2,4,5,East,East,49,48,First Round,Boston Celtics,Indiana Pacers,4.0,3.0,1.0,2.799999999999997,1.8999999999999915,0.7000000000000028,1.0,1.9999999999999996,0.8999999999999999,-0.0040000000000000036,0.1499999999999999,-0.09999999999999787,-0.01200000000000001,0.006000000000000005,-0.0040000000000000036,-0.01200000000000001,0.0040000000000000036,0.005999999999999894,1.5999999999999943,1.7900000000000063,0.0030000000000000027,3,1,0.7499998125000469,2018-19
Denver Nuggets,San Antonio Spurs,4,3,4,3,2,7,West,West,54,48,First Round,Denver Nuggets,San Antonio Spurs,-1.0,-3.0,2.0,-1.2999999999999972,-0.10000000000000853,-1.5,-2.5,0.20000000000000018,2.4,0.07300000000000006,0.010000000000000231,1.1999999999999993,0.062,0.0,0.02300000000000002,0.014000000000000012,-0.007000000000000006,-0.013999999999999901,-0.30000000000001137,-0.39000000000000057,0.008000000000000007,2,2,0.49999987500003124,2018-19
Golden State Warriors,Houston Rockets,4,2,3,3,1,4,West,West,57,53,Conf Semis,Golden State Warriors,Houston Rockets,4.0,2.0,1.0,1.4000000000000057,0.09999999999999432,-1.4000000000000057,-1.5,2.9000000000000004,1.7000000000000002,0.127,0.47,4.499999999999998,-0.01200000000000001,0.027000000000000024,0.02400000000000002,0.0040000000000000036,0.02299999999999991,0.015000000000000013,2.799999999999997,3.3499999999999943,0.04800000000000004,1,3,0.24999993750001562,2018-19
Golden State Warriors,LA Clippers,4,2,3,3,1,8,West,West,57,48,First Round,Golden State Warriors,LA Clippers,3.0,-3.0,5.0,4.200000000000003,3.5999999999999943,-2.5,-1.8000000000000114,6.8,5.5,0.08600000000000008,0.41000000000000014,3.299999999999997,-0.006000000000000005,0.0050000000000000044,0.0050000000000000044,-0.001999999999999974,0.03599999999999992,0.02100000000000002,-0.8999999999999915,-0.9200000000000017,0.041000000000000036,3,1,0.7499998125000469,2018-19
Golden State Warriors,Portland Trail Blazers,4,0,2,2,1,3,West,West,57,53,Conf Finals,Golden State Warriors,Portland Trail Blazers,3.0,1.0,2.0,2.5,1.2999999999999972,-1.5999999999999943,-0.9000000000000057,4.2,2.3,0.124,0.40000000000000013,3.799999999999997,-0.05099999999999999,-0.01200000000000001,-0.02100000000000002,0.0020000000000000018,0.03699999999999992,0.028000000000000025,1.6000000000000085,1.7800000000000011,0.025000000000000022,2,2,0.49999987500003124,2018-19
Houston Rockets,Utah Jazz,4,1,3,2,4,5,West,West,53,50,First Round,Houston Rockets,Utah Jazz,2.0,3.0,0.0,3.700000000000003,4.6000000000000085,4.700000000000003,4.799999999999997,-0.9000000000000004,-0.20000000000000018,-0.10299999999999998,-0.1299999999999999,-2.5999999999999996,-0.006000000000000005,-0.05900000000000005,-0.041000000000000036,-0.013999999999999985,0.0040000000000000036,0.009000000000000008,-2.0999999999999943,-2.450000000000003,-0.041000000000000036,2,2,0.49999987500003124,2018-19
Milwaukee Bucks,Boston Celtics,4,1,3,2,1,4,East,East,60,49,Conf Semis,Milwaukee Bucks,Boston Celtics,6.0,1.0,5.0,1.4000000000000057,2.200000000000003,-1.9000000000000057,-2.0999999999999943,3.4000000000000004,4.3,-0.02300000000000002,-0.16999999999999993,-0.5,-0.007000000000000006,0.029000000000000026,0.02100000000000002,0.006000000000000005,0.016000000000000014,0.016000000000000014,3.4000000000000057,3.1399999999999864,0.02300000000000002,2,1,0.6666664444445185,2018-19
Milwaukee Bucks,Detroit Pistons,4,0,2,2,1,8,East,East,60,41,First Round,Milwaukee Bucks,Detroit Pistons,11.0,2.0,9.0,5.400000000000006,5.099999999999994,-3.9000000000000057,-3.799999999999997,9.2,8.9,0.02200000000000002,0.25,1.8000000000000007,-0.04099999999999998,0.01200000000000001,0.007000000000000006,-0.007000000000000006,0.041000000000000036,0.038999999999999924,5.700000000000003,5.689999999999998,0.07100000000000006,4,0,0.9999997500000625,2018-19
Philadelphia 76ers,Brooklyn Nets,4,1,3,2,3,6,East,East,51,42,First Round,Philadelphia 76ers,Brooklyn Nets,3.0,0.0,3.0,3.5,2.6999999999999886,0.09999999999999432,0.0,3.4,2.7,0.05600000000000005,0.21999999999999997,1.8000000000000007,-0.003999999999999948,0.02100000000000002,0.016000000000000014,-0.0020000000000000018,0.01200000000000001,0.017999999999999905,0.5999999999999943,1.0700000000000074,0.03700000000000003,2,2,0.49999987500003124,2018-19
Portland Trail Blazers,Denver Nuggets,4,3,3,4,3,2,West,West,53,54,Conf Semis,Denver Nuggets,Portland Trail Blazers,4.0,3.0,0.0,1.6000000000000085,1.6000000000000085,1.2999999999999972,1.4000000000000057,0.2999999999999998,0.20000000000000018,-0.10899999999999999,-0.3800000000000001,-2.6999999999999993,0.0,-0.0050000000000000044,0.0020000000000000018,0.0010000000000000009,0.0010000000000000009,0.009999999999999898,1.5,1.4699999999999989,-0.0030000000000000027,1,3,0.24999993750001562,2018-19
