SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Cleveland Cavaliers,Washington Wizards,4,2,3,3,3,5,East,East,50,42,Conf Finals,Cleveland Cavaliers,Washington Wizards,-4.0,-5.0,0.0,-0.7999999999999972,-1.1000000000000085,-2.1000000000000085,-1.3999999999999915,1.2,0.20000000000000018,0.02400000000000002,0.040000000000000036,0.8000000000000007,-0.016000000000000014,0.03799999999999992,0.015000000000000013,0.0030000000000000027,0.008000000000000007,0.0,-2.700000000000003,-2.910000000000011,0.007000000000000006,1,3,0.24999993750001562,2005-06
Dallas Mavericks,Memphis Grizzlies,4,0,2,2,2,5,West,West,60,49,Conf Finals,Dallas Mavericks,Memphis Grizzlies,7.0,5.0,2.0,5.700000000000003,5.400000000000006,2.700000000000003,2.799999999999997,3.0,2.6000000000000005,-0.07799999999999996,-0.07999999999999985,-1.5000000000000018,0.04899999999999999,0.0,0.026000000000000023,-0.007000000000000006,-0.0010000000000000009,0.013000000000000012,1.7000000000000028,1.9099999999999966,0.03500000000000003,3,1,0.7499998125000469,2005-06
Dallas Mavericks,Phoenix Suns,4,2,3,3,2,3,West,West,60,54,Conf Semis,Dallas Mavericks,Phoenix Suns,-9.0,-10.0,0.0,-0.7000000000000028,-0.29999999999999716,-1.0,-1.5,0.39999999999999947,1.2999999999999998,-0.135,-0.6799999999999999,-4.9,0.09099999999999997,0.0,0.04200000000000004,0.014999999999999986,-0.04200000000000004,-0.017999999999999905,-7.799999999999997,-7.6200000000000045,0.0040000000000000036,2,2,0.49999987500003124,2005-06
Dallas Mavericks,San Antonio Spurs,4,3,3,4,2,1,West,West,60,63,Conf Finals,San Antonio Spurs,Dallas Mavericks,3.0,4.0,-1.0,3.5,3.700000000000003,5.0,4.5,-1.5000000000000009,-0.7999999999999998,-0.07399999999999995,-0.19999999999999996,-2.4000000000000004,0.057999999999999996,-0.018000000000000016,0.017000000000000015,-0.0030000000000000027,-0.018000000000000016,0.0040000000000000036,-0.29999999999999716,-0.10999999999999943,-0.0030000000000000027,2,2,0.49999987500003124,2005-06
Detroit Pistons,Cleveland Cavaliers,4,3,4,3,1,3,East,East,64,50,Conf Finals,Detroit Pistons,Cleveland Cavaliers,-1.0,-5.0,5.0,2.5,2.700000000000003,-2.3999999999999915,-2.700000000000003,5.1,5.5,0.125,0.75,3.599999999999998,0.0040000000000000036,-0.03699999999999992,-0.017000000000000015,-0.022999999999999993,0.0050000000000000044,-0.0030000000000000027,-2.9000000000000057,-2.789999999999992,0.04700000000000004,3,1,0.7499998125000469,2005-06
Detroit Pistons,Milwaukee Bucks,4,1,3,2,1,8,East,East,64,40,First Round,Detroit Pistons,Milwaukee Bucks,-1.0,-9.0,8.0,4.400000000000006,4.3999999999999915,-4.799999999999997,-4.200000000000003,9.299999999999999,8.6,0.06700000000000006,0.6400000000000001,2.099999999999998,0.008000000000000007,-0.03299999999999992,-0.010000000000000009,-0.028999999999999998,0.0050000000000000044,0.0,-4.299999999999997,-4.469999999999999,0.07100000000000006,3,1,0.7499998125000469,2005-06
Los Angeles Clippers,Denver Nuggets,4,1,3,2,6,4,West,West,47,44,Conf Finals,Denver Nuggets,Los Angeles Clippers,-3.0,-4.0,2.0,0.10000000000000853,-0.6000000000000085,-1.3999999999999915,-1.8999999999999915,1.5999999999999999,1.3,-0.05300000000000005,-0.14000000000000012,-1.1000000000000014,-0.014000000000000012,0.03699999999999992,0.019000000000000017,0.0,-0.0010000000000000009,0.0050000000000000044,-2.5,-1.9100000000000108,0.01100000000000001,3,1,0.7499998125000469,2005-06
Miami Heat,Chicago Bulls,4,2,3,3,2,7,East,East,52,41,First Round,Miami Heat,Chicago Bulls,2.0,-1.0,3.0,5.1000000000000085,4.200000000000003,1.5,0.7000000000000028,3.7,3.3999999999999995,-0.04399999999999993,-0.040000000000000036,-0.5,-0.006000000000000005,0.02300000000000002,0.016000000000000014,-0.0020000000000000018,0.030000000000000027,0.029000000000000026,-1.9000000000000057,-1.0300000000000011,0.03700000000000003,2,1,0.6666664444445185,2005-06
Miami Heat,Dallas Mavericks,4,2,3,3,2,2,East,West,52,60,NBA Finals,Dallas Mavericks,Miami Heat,1.0,3.0,-2.0,-2.299999999999997,-2.4000000000000057,-0.20000000000000284,0.20000000000000284,-2.0999999999999996,-2.6000000000000005,0.05700000000000005,0.10999999999999988,1.799999999999999,-0.04999999999999999,0.03600000000000003,-0.0030000000000000027,0.006000000000000005,0.02200000000000002,0.006000000000000005,3.5,3.260000000000005,-0.013000000000000012,0,2,0.0,2005-06
Miami Heat,Detroit Pistons,4,2,3,3,2,1,East,East,52,64,Conf Finals,Detroit Pistons,Miami Heat,3.0,6.0,-3.0,-1.2999999999999972,-1.7999999999999972,1.5,1.7000000000000028,-2.8999999999999995,-3.5,-0.10399999999999998,-0.6900000000000002,-2.5,-0.020000000000000018,0.04599999999999993,0.02200000000000002,0.027999999999999997,0.020000000000000018,0.02100000000000002,4.5,4.579999999999998,-0.019000000000000017,1,3,0.24999993750001562,2005-06
