SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Chicago Bulls,Brooklyn Nets,4,3,3,4,5,4,East,East,45,49,First Round,Brooklyn Nets,Chicago Bulls,-4.0,-2.0,-2.0,-4.599999999999994,-4.5,-3.299999999999997,-2.8999999999999915,-1.2999999999999998,-1.5,0.07800000000000007,0.2300000000000002,1.6999999999999993,-0.01100000000000001,-0.0020000000000000018,-0.006000000000000005,-0.0050000000000000044,-0.028000000000000025,-0.02400000000000002,0.7999999999999972,0.46999999999999886,0.0050000000000000044,3,1,0.7499998125000469,2012-13
Golden State Warriors,Denver Nuggets,4,2,3,3,6,3,West,West,47,57,First Round,Denver Nuggets,Golden State Warriors,-5.0,-1.0,-4.0,-3.3999999999999915,-4.200000000000003,0.5999999999999943,0.0,-3.8999999999999995,-4.199999999999999,-0.01100000000000001,-0.1100000000000001,-0.6999999999999993,-0.06,0.03699999999999992,-0.007000000000000006,0.0,-0.009000000000000008,-0.0040000000000000036,-1.0,-0.28000000000000114,-0.03600000000000003,1,3,0.24999993750001562,2012-13
Indiana Pacers,Atlanta Hawks,4,2,3,3,3,6,East,East,49,44,First Round,Indiana Pacers,Atlanta Hawks,-3.0,-7.0,4.0,-1.1000000000000085,-0.29999999999999716,-5.200000000000003,-4.400000000000006,4.1,4.1000000000000005,-0.07300000000000006,-0.30999999999999983,-2.8000000000000007,0.08200000000000002,0.0,0.040000000000000036,0.008000000000000007,-0.038000000000000034,-0.025000000000000022,-1.9000000000000057,-2.6599999999999966,0.028000000000000025,2,2,0.49999987500003124,2012-13
Indiana Pacers,New York Knicks,4,2,3,3,3,2,East,East,49,54,Conf Semis,New York Knicks,Indiana Pacers,-5.0,-5.0,0.0,-7.0,-6.3999999999999915,-6.900000000000006,-6.400000000000006,-0.09999999999999964,-0.09999999999999964,0.050999999999999934,-0.26,0.40000000000000036,0.04500000000000004,-0.007000000000000006,0.028000000000000025,0.033,-0.03600000000000003,-0.029000000000000026,0.7999999999999972,0.21999999999999886,0.025000000000000022,2,2,0.49999987500003124,2012-13
Memphis Grizzlies,Los Angeles Clippers,4,2,3,3,5,4,West,West,56,56,First Round,Los Angeles Clippers,Memphis Grizzlies,-8.0,-6.0,-2.0,-6.0,-6.200000000000003,-3.5999999999999943,-3.700000000000003,-2.5,-2.4000000000000004,-0.041000000000000036,-0.1399999999999999,-1.8999999999999986,0.020999999999999963,0.0050000000000000044,0.008000000000000007,-0.0040000000000000036,-0.05400000000000005,-0.04300000000000004,-2.5,-2.269999999999996,-0.017000000000000015,1,3,0.24999993750001562,2012-13
Memphis Grizzlies,Oklahoma City Thunder,4,1,2,3,5,1,West,West,56,60,Conf Semis,Oklahoma City Thunder,Memphis Grizzlies,-13.0,-8.0,-5.0,-8.5,-7.400000000000006,-1.7999999999999972,-2.1000000000000085,-6.8,-5.4,0.017999999999999905,0.10000000000000009,-0.10000000000000142,0.05299999999999999,0.0,0.007000000000000006,-0.0050000000000000044,-0.05500000000000005,-0.06599999999999995,-4.800000000000011,-5.019999999999996,-0.038999999999999924,2,1,0.6666664444445185,2012-13
Miami Heat,Chicago Bulls,4,1,3,2,1,5,East,East,66,45,Conf Semis,Miami Heat,Chicago Bulls,10.0,2.0,8.0,9.899999999999991,9.0,0.20000000000000284,1.2999999999999972,9.8,7.699999999999999,-0.04500000000000004,0.039999999999999813,0.5999999999999979,-0.068,-0.020999999999999908,-0.029000000000000026,-0.006000000000000005,0.08200000000000007,0.07599999999999996,1.0,0.9100000000000108,0.04999999999999993,2,2,0.49999987500003124,2012-13
Miami Heat,Indiana Pacers,4,3,4,3,1,3,East,East,66,49,Conf Finals,Miami Heat,Indiana Pacers,8.0,4.0,4.0,8.700000000000003,8.0,3.9000000000000057,4.200000000000003,4.9,3.799999999999999,0.02200000000000002,0.30999999999999983,2.3999999999999986,-0.07200000000000001,-0.02299999999999991,-0.03700000000000003,-0.014000000000000012,0.07300000000000006,0.06699999999999995,0.20000000000000284,0.35999999999999943,0.026999999999999913,1,2,0.33333322222225925,2012-13
Miami Heat,Milwaukee Bucks,4,0,2,2,1,8,East,East,66,38,First Round,Miami Heat,Milwaukee Bucks,4.0,-5.0,10.0,9.399999999999991,8.900000000000006,-1.7999999999999972,-1.0,11.3,9.899999999999999,0.0,0.029999999999999805,1.3999999999999986,-0.05099999999999999,0.0,-0.006000000000000005,0.0050000000000000044,0.07600000000000007,0.07799999999999996,-4.299999999999997,-4.390000000000001,0.07599999999999996,3,1,0.7499998125000469,2012-13
Miami Heat,San Antonio Spurs,4,3,4,3,1,2,East,West,66,58,NBA Finals,Miami Heat,San Antonio Spurs,0.0,-2.0,2.0,4.3999999999999915,4.400000000000006,1.2999999999999972,2.9000000000000057,3.1000000000000005,1.4999999999999991,-0.041000000000000036,-0.06000000000000005,-0.7000000000000028,0.02100000000000002,-0.03699999999999992,-0.008000000000000007,-0.0020000000000000018,0.02100000000000002,0.020000000000000018,-3.4000000000000057,-4.049999999999997,0.0129999999999999,2,0,0.99999950000025,2012-13
