SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Atlanta Hawks,New York Knicks,4,1,2,3,5,4,East,East,41,41,First Round,New York Knicks,Atlanta Hawks,7.0,6.0,0.0,4.799999999999997,4.099999999999994,4.8999999999999915,4.299999999999997,0.0,-0.19999999999999973,0.04799999999999993,0.17000000000000015,1.3000000000000007,0.019999999999999962,0.0040000000000000036,0.01100000000000001,0.0,0.015000000000000013,0.02199999999999991,1.7000000000000028,2.3600000000000136,0.009000000000000008,0,3,0.0,2020-21
Atlanta Hawks,Philadelphia 76ers,4,3,3,4,5,1,East,East,41,49,Conf Semis,Philadelphia 76ers,Atlanta Hawks,0.0,3.0,-4.0,2.200000000000003,1.7999999999999972,5.5,5.099999999999994,-3.2,-3.3,0.019000000000000017,0.18000000000000016,0.40000000000000213,0.006999999999999951,0.0050000000000000044,0.0050000000000000044,-0.009999999999999981,-0.0020000000000000018,0.0020000000000000018,-1.8999999999999915,-1.4399999999999977,-0.025000000000000022,1,2,0.33333322222225925,2020-21
Brooklyn Nets,Boston Celtics,4,1,3,2,2,7,East,East,48,36,First Round,Brooklyn Nets,Boston Celtics,6.0,3.0,4.0,5.299999999999997,4.200000000000003,0.5999999999999943,1.2999999999999972,4.8,3.0,0.05500000000000005,0.31000000000000005,2.1999999999999993,-0.03699999999999998,-0.01100000000000001,-0.007000000000000006,-0.0069999999999999785,0.03199999999999992,0.03600000000000003,1.0999999999999943,1.3299999999999983,0.031000000000000028,3,0,0.9999996666667778,2020-21
Denver Nuggets,Portland Trail Blazers,4,2,3,3,3,6,West,West,47,42,First Round,Denver Nuggets,Portland Trail Blazers,-1.0,-4.0,3.0,-0.7000000000000028,-0.7999999999999972,-3.4000000000000057,-3.799999999999997,2.7,3.0,0.10599999999999998,0.07000000000000006,3.4000000000000004,0.01899999999999996,0.020000000000000018,0.027000000000000024,0.024000000000000007,0.017000000000000015,0.01100000000000001,-1.5,-1.230000000000004,0.03200000000000003,2,1,0.6666664444445185,2020-21
LA Clippers,Dallas Mavericks,4,3,4,3,4,5,West,West,47,42,First Round,LA Clippers,Dallas Mavericks,2.0,-2.0,4.0,2.299999999999997,2.1000000000000085,-1.7000000000000028,-1.7000000000000028,4.1,3.8,0.026999999999999913,-0.04999999999999982,0.9000000000000021,0.017000000000000015,0.020000000000000018,0.02200000000000002,0.01200000000000001,0.013999999999999901,0.017000000000000015,-0.4000000000000057,-0.3100000000000023,0.020000000000000018,1,2,0.33333322222225925,2020-21
LA Clippers,Utah Jazz,4,2,3,3,4,1,West,West,47,52,Conf Semis,Utah Jazz,LA Clippers,-2.0,1.0,-3.0,0.10000000000000853,0.20000000000000284,3.0,3.0999999999999943,-2.8000000000000007,-2.9000000000000004,0.01100000000000001,0.19000000000000017,0.8000000000000007,-0.013999999999999957,-0.0030000000000000027,-0.01100000000000001,-0.0069999999999999785,0.0010000000000000009,0.0020000000000000018,-1.7000000000000028,-1.740000000000009,-0.01200000000000001,1,2,0.33333322222225925,2020-21
Milwaukee Bucks,Atlanta Hawks,4,2,3,3,3,5,East,East,46,41,Conf Finals,Milwaukee Bucks,Atlanta Hawks,6.0,3.0,4.0,1.7000000000000028,2.200000000000003,-1.5,-1.3999999999999915,3.0,3.5999999999999996,-0.02200000000000002,0.020000000000000018,0.3999999999999986,-0.014999999999999958,0.013000000000000012,0.0030000000000000027,0.0010000000000000009,0.026999999999999913,0.01200000000000001,4.5,4.1699999999999875,0.02200000000000002,2,1,0.6666664444445185,2020-21
Milwaukee Bucks,Brooklyn Nets,4,3,3,4,3,2,East,East,46,48,Conf Semis,Brooklyn Nets,Milwaukee Bucks,1.0,0.0,1.0,-1.5999999999999943,-0.7999999999999972,-1.5,-2.3999999999999915,-0.20000000000000018,1.5999999999999996,-0.052000000000000046,-0.1399999999999999,-1.3000000000000007,0.017000000000000015,0.029000000000000026,0.016000000000000014,0.0,-0.009000000000000008,-0.017000000000000015,2.6000000000000085,2.5799999999999983,0.0010000000000000009,2,1,0.6666664444445185,2020-21
Milwaukee Bucks,Miami Heat,4,0,2,2,3,6,East,East,46,40,First Round,Milwaukee Bucks,Miami Heat,12.0,6.0,6.0,5.6000000000000085,5.900000000000006,0.5999999999999943,0.0,4.9,5.8999999999999995,-0.10200000000000009,-0.030000000000000027,-1.5,0.029000000000000026,0.02200000000000002,0.028000000000000025,-0.009999999999999981,0.019999999999999907,0.01200000000000001,5.700000000000003,5.759999999999991,0.02400000000000002,2,1,0.6666664444445185,2020-21
Milwaukee Bucks,Phoenix Suns,4,2,3,3,3,2,East,West,46,51,Conf Semis,Phoenix Suns,Milwaukee Bucks,5.0,5.0,0.0,-0.20000000000000284,0.20000000000000284,0.29999999999999716,0.29999999999999716,-0.5999999999999996,-0.10000000000000053,-0.05300000000000005,-0.30999999999999983,-1.6000000000000014,0.02100000000000002,0.014000000000000012,0.019000000000000017,0.008000000000000007,0.0020000000000000018,-0.0040000000000000036,5.1000000000000085,4.849999999999994,-0.0010000000000000009,0,2,0.0,2020-21
