SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Boston Celtics,Philadelphia 76ers,4,0,2,2,3,6,East,East,48,43,First Round,Boston Celtics,Philadelphia 76ers,3.0,-1.0,4.0,1.3000000000000114,2.0999999999999943,-1.7999999999999972,-1.9000000000000057,3.2,4.0,-0.07099999999999995,-0.16000000000000014,-1.8000000000000007,0.0019999999999999463,-0.02200000000000002,-0.007000000000000006,-0.004999999999999977,-0.0030000000000000027,0.0040000000000000036,0.6000000000000085,0.3299999999999983,0.008000000000000007,1,3,0.24999993750001562,2019-20
Boston Celtics,Toronto Raptors,4,3,3,4,3,2,East,East,48,53,Conf Semis,Toronto Raptors,Boston Celtics,1.0,0.0,0.0,1.4000000000000057,2.0,2.5,1.7999999999999972,-1.0,0.20000000000000018,-0.06999999999999995,-0.040000000000000036,-1.4000000000000021,0.02699999999999997,0.010000000000000009,0.013000000000000012,-0.00899999999999998,-0.0050000000000000044,-0.0040000000000000036,-1.3999999999999915,-1.269999999999996,0.0010000000000000009,3,1,0.7499998125000469,2019-20
Denver Nuggets,LA Clippers,4,3,3,4,3,2,West,West,46,49,Conf Semis,LA Clippers,Denver Nuggets,-5.0,-1.0,-4.0,-1.0,-0.7000000000000028,3.299999999999997,3.5,-4.2,-4.1,0.06500000000000006,0.31000000000000005,2.200000000000003,0.01599999999999996,-0.01200000000000001,-0.006000000000000005,-0.002999999999999975,0.0,-0.010000000000000009,-4.400000000000006,-4.519999999999996,-0.015000000000000013,1,2,0.33333322222225925,2019-20
Denver Nuggets,Utah Jazz,4,3,4,3,3,6,West,West,46,44,First Round,Denver Nuggets,Utah Jazz,0.0,0.0,0.0,0.09999999999999432,0.7999999999999972,1.1999999999999886,1.1000000000000085,-1.1,-0.2999999999999998,0.07599999999999996,0.45999999999999996,2.3000000000000007,0.032999999999999974,-0.02100000000000002,-0.0030000000000000027,-0.012999999999999984,-0.014000000000000012,-0.018000000000000016,-1.2999999999999972,-1.5100000000000051,0.0040000000000000036,3,0,0.9999996666667778,2019-20
Houston Rockets,Oklahoma City Thunder,4,3,4,3,4,5,West,West,44,44,First Round,Houston Rockets,Oklahoma City Thunder,8.0,7.0,1.0,1.8999999999999915,2.4000000000000057,1.1000000000000085,1.7000000000000028,0.7999999999999998,0.6000000000000001,-0.013000000000000012,-0.1100000000000001,-0.8000000000000007,0.008000000000000007,-0.015000000000000013,-0.01200000000000001,0.0030000000000000027,0.007000000000000006,0.0050000000000000044,5.200000000000003,4.6200000000000045,-0.025000000000000022,1,2,0.33333322222225925,2019-20
LA Clippers,Dallas Mavericks,4,2,3,3,2,7,West,West,49,43,First Round,LA Clippers,Dallas Mavericks,-1.0,-2.0,1.0,-2.6000000000000085,-2.6000000000000085,-4.200000000000003,-4.299999999999997,1.5,1.5,-0.02100000000000002,-0.31000000000000005,-0.8000000000000007,0.0030000000000000027,-0.0030000000000000027,0.006000000000000005,0.015999999999999986,-0.010000000000000009,-0.0040000000000000036,2.200000000000003,2.269999999999996,0.01100000000000001,3,0,0.9999996666667778,2019-20
Los Angeles Lakers,Denver Nuggets,4,1,3,2,1,3,West,West,52,46,Conf Finals,Los Angeles Lakers,Denver Nuggets,2.0,-1.0,4.0,-0.5,-0.8999999999999915,-4.799999999999997,-4.300000000000011,4.3,3.3999999999999995,-0.03600000000000003,-0.27,-1.1000000000000014,-0.01100000000000001,0.01200000000000001,0.0030000000000000027,0.009999999999999981,0.007000000000000006,0.006000000000000005,3.799999999999997,3.5600000000000023,0.02200000000000002,3,1,0.7499998125000469,2019-20
Los Angeles Lakers,Houston Rockets,4,1,3,2,1,4,West,West,52,44,Conf Semis,Los Angeles Lakers,Houston Rockets,-5.0,-7.0,3.0,-0.7000000000000028,-0.7999999999999972,-3.6000000000000085,-3.700000000000003,2.9,2.8999999999999995,0.06999999999999995,0.19999999999999996,2.5,0.033999999999999975,0.02400000000000002,0.03200000000000003,0.00899999999999998,0.0050000000000000044,-0.0050000000000000044,-3.0,-2.8400000000000034,0.04500000000000004,1,2,0.33333322222225925,2019-20
Los Angeles Lakers,Miami Heat,4,2,3,3,1,5,West,East,52,44,Conf Semis,Los Angeles Lakers,Miami Heat,1.0,-1.0,3.0,-0.4000000000000057,-0.20000000000000284,-3.4000000000000057,-3.200000000000003,3.0,2.8999999999999995,-0.05700000000000005,-0.07000000000000006,-0.8000000000000007,0.025999999999999968,-0.016000000000000014,0.0,0.0,-0.0050000000000000044,-0.014000000000000012,2.799999999999997,2.5,0.014000000000000012,2,0,0.99999950000025,2019-20
Los Angeles Lakers,Portland Trail Blazers,4,1,3,2,1,8,West,West,52,35,First Round,Los Angeles Lakers,Portland Trail Blazers,-2.0,-8.0,7.0,-1.5,-1.5,-8.0,-8.200000000000003,6.5,6.699999999999999,0.11199999999999999,0.05999999999999983,2.8000000000000007,0.01699999999999996,0.025000000000000022,0.020000000000000018,0.022999999999999993,0.009000000000000008,0.0030000000000000027,0.09999999999999432,0.030000000000001137,0.05300000000000005,2,1,0.6666664444445185,2019-20
