SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Boston Celtics,Detroit Pistons,4,1,2,3,3,2,East,East,49,50,Conf Semis,Detroit Pistons,Boston Celtics,2.0,2.0,0.0,-1.4000000000000057,-1.1000000000000085,-1.2999999999999972,-1.0,-0.19999999999999973,-0.09999999999999964,-0.016000000000000014,0.07000000000000006,-0.9000000000000021,-0.0050000000000000044,0.018999999999999906,0.0,-0.015000000000000013,-0.02100000000000002,-0.020000000000000018,2.5999999999999943,2.219999999999999,-0.02300000000000002,2,2,0.49999987500003124,2001-02
Boston Celtics,Philadelphia 76ers,3,2,3,2,3,6,East,East,49,43,First Round,Boston Celtics,Philadelphia 76ers,5.0,5.0,0.0,2.0,1.5999999999999943,0.5,1.2000000000000028,1.5,0.40000000000000013,0.020000000000000018,0.25,0.5999999999999979,-0.069,-0.007000000000000006,-0.04200000000000004,-0.025000000000000022,0.023999999999999966,0.013000000000000012,3.5,3.280000000000001,-0.020000000000000018,1,3,0.24999993750001562,2001-02
Charlotte Hornets,Orlando Magic,3,1,2,2,4,5,East,East,44,44,First Round,Charlotte Hornets,Orlando Magic,-7.0,-6.0,-1.0,-2.6999999999999886,-2.6999999999999886,-2.5,-2.299999999999997,-0.20000000000000018,-0.30000000000000004,0.02400000000000002,-0.08000000000000007,-0.10000000000000142,0.041000000000000036,0.02399999999999991,0.03400000000000003,0.01100000000000001,-0.02699999999999997,-0.020000000000000018,-3.299999999999997,-3.469999999999999,0.016000000000000014,3,1,0.7499998125000469,2001-02
Dallas Mavericks,Minnesota Timberwolves,3,0,2,1,4,5,West,West,57,50,First Round,Dallas Mavericks,Minnesota Timberwolves,6.0,5.0,1.0,3.700000000000003,2.799999999999997,2.5999999999999943,1.9000000000000057,1.1,0.8999999999999999,-0.062000000000000055,0.010000000000000009,-1.5,-0.05800000000000005,-0.019999999999999907,-0.03700000000000003,-0.017999999999999988,0.017000000000000015,0.02100000000000002,2.0,2.6400000000000006,-0.01200000000000001,2,2,0.49999987500003124,2001-02
Detroit Pistons,Toronto Raptors,3,2,3,2,2,7,East,East,50,42,First Round,Detroit Pistons,Toronto Raptors,3.0,0.0,2.0,3.0999999999999943,2.1000000000000085,-0.7000000000000028,-0.7999999999999972,3.9,2.9,0.01100000000000001,-0.040000000000000036,0.40000000000000213,-0.066,0.0050000000000000044,-0.02200000000000002,0.0010000000000000009,0.033999999999999975,0.039000000000000035,0.8000000000000114,1.3599999999999994,0.027000000000000024,3,1,0.7499998125000469,2001-02
Los Angeles Lakers,New Jersey Nets,4,0,2,2,3,1,West,East,58,52,NBA Finals,Los Angeles Lakers,New Jersey Nets,5.0,2.0,3.0,5.400000000000006,5.599999999999994,2.1000000000000085,2.3000000000000114,3.3,3.3,-0.05700000000000005,0.14000000000000012,-0.6999999999999993,-0.01100000000000001,0.0030000000000000027,-0.0020000000000000018,-0.01899999999999999,0.02200000000000002,0.019000000000000017,0.29999999999999716,0.11999999999999034,0.01200000000000001,1,1,0.499999750000125,2001-02
Los Angeles Lakers,Portland Trail Blazers,3,0,2,1,3,6,West,West,58,49,First Round,Los Angeles Lakers,Portland Trail Blazers,4.0,0.0,4.0,2.0999999999999943,2.0999999999999943,-2.299999999999997,-2.1999999999999886,4.4,4.3,-0.04400000000000004,0.17000000000000015,-0.5,-0.033999999999999975,-0.016999999999999904,-0.02100000000000002,-0.021999999999999992,0.013000000000000012,0.006000000000000005,2.799999999999997,2.769999999999996,0.031000000000000028,2,2,0.49999987500003124,2001-02
Los Angeles Lakers,Sacramento Kings,4,3,3,4,3,1,West,West,58,61,Conf Finals,Sacramento Kings,Los Angeles Lakers,-4.0,-3.0,-1.0,0.09999999999999432,0.09999999999999432,0.10000000000000853,0.7000000000000028,0.09999999999999964,-0.5,-0.0030000000000000027,0.07000000000000006,-0.1999999999999993,0.0050000000000000044,-0.0039999999999998925,-0.0010000000000000009,-0.0069999999999999785,0.0010000000000000009,-0.0050000000000000044,-3.200000000000003,-3.4200000000000017,-0.0030000000000000027,3,1,0.7499998125000469,2001-02
Los Angeles Lakers,San Antonio Spurs,4,1,3,2,3,2,West,West,58,58,Conf Semis,San Antonio Spurs,Los Angeles Lakers,4.0,3.0,1.0,2.5,2.5999999999999943,2.200000000000003,1.9000000000000057,0.2999999999999998,0.6999999999999993,0.03300000000000003,0.42000000000000015,1.5,0.010000000000000009,0.0010000000000000009,0.0,-0.021999999999999992,0.006000000000000005,-0.0050000000000000044,2.200000000000003,2.259999999999991,-0.0050000000000000044,3,1,0.7499998125000469,2001-02
New Jersey Nets,Boston Celtics,4,2,3,3,1,3,East,East,52,49,Conf Finals,New Jersey Nets,Boston Celtics,0.0,-2.0,2.0,0.0,0.30000000000001137,-1.4000000000000057,-1.8000000000000114,1.4,2.0999999999999996,0.050000000000000044,0.11999999999999988,1.8000000000000007,0.04999999999999999,-0.0119999999999999,0.02200000000000002,0.010000000000000009,0.0,-0.0050000000000000044,-0.5,-0.3999999999999915,0.03700000000000003,1,3,0.24999993750001562,2001-02
