SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Atlanta Hawks,Brooklyn Nets,4,2,3,3,1,8,East,East,60,38,First Round,Atlanta Hawks,Brooklyn Nets,5.0,-4.0,8.0,4.299999999999997,4.799999999999997,-4.299999999999997,-4.0,8.7,8.9,0.11699999999999999,0.30000000000000004,3.1999999999999993,-0.014000000000000012,-0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.03600000000000003,0.03399999999999992,1.2000000000000028,0.9699999999999989,0.06000000000000005,4,0,0.9999997500000625,2014-15
Atlanta Hawks,Washington Wizards,4,2,3,3,1,5,East,East,60,46,Conf Semis,Atlanta Hawks,Washington Wizards,4.0,-1.0,4.0,4.400000000000006,5.200000000000003,0.7000000000000028,-0.10000000000000853,3.6999999999999997,5.300000000000001,0.049000000000000044,0.20999999999999996,1.3999999999999986,-0.023999999999999966,-0.029000000000000026,-0.027000000000000024,-0.007000000000000006,0.028000000000000025,0.028999999999999915,0.20000000000000284,0.36999999999999034,0.015000000000000013,3,1,0.7499998125000469,2014-15
Chicago Bulls,Milwaukee Bucks,4,2,3,3,3,6,East,East,50,41,First Round,Chicago Bulls,Milwaukee Bucks,3.0,1.0,3.0,4.200000000000003,4.299999999999997,2.200000000000003,1.8999999999999915,2.0999999999999996,2.4,-0.03400000000000003,0.15000000000000013,-1.1999999999999993,0.02200000000000002,0.02299999999999991,0.025000000000000022,-0.027999999999999997,-0.010000000000000009,0.0,-1.0999999999999943,-1.019999999999996,0.018000000000000016,3,1,0.7499998125000469,2014-15
Cleveland Cavaliers,Atlanta Hawks,4,0,2,2,2,1,East,East,53,60,Conf Finals,Atlanta Hawks,Cleveland Cavaliers,0.0,2.0,-1.0,1.5,1.8999999999999915,3.3999999999999915,3.0,-1.8999999999999995,-1.1000000000000005,-0.08900000000000008,-0.26,-2.3999999999999986,0.046999999999999986,0.014000000000000012,0.026000000000000023,0.0020000000000000018,-0.007000000000000006,-0.005999999999999894,-1.4000000000000057,-1.4299999999999926,-0.026000000000000023,1,3,0.24999993750001562,2014-15
Cleveland Cavaliers,Boston Celtics,4,0,2,2,2,7,East,East,53,40,First Round,Cleveland Cavaliers,Boston Celtics,2.0,-2.0,4.0,6.0,6.299999999999997,2.0,1.7999999999999972,4.1000000000000005,4.5,-0.04200000000000004,-0.21999999999999997,-0.8999999999999986,0.02200000000000002,0.0010000000000000009,0.018000000000000016,0.010000000000000009,0.031000000000000028,0.03400000000000003,-3.6000000000000085,-3.4799999999999898,0.016000000000000014,2,2,0.49999987500003124,2014-15
Cleveland Cavaliers,Chicago Bulls,4,2,3,3,2,3,East,East,53,50,Conf Semis,Cleveland Cavaliers,Chicago Bulls,2.0,1.0,1.0,3.0,3.799999999999997,2.5999999999999943,2.0,0.40000000000000036,1.7999999999999998,-0.006000000000000005,-0.010000000000000009,0.5,-0.0010000000000000009,0.0020000000000000018,-0.0030000000000000027,0.0050000000000000044,0.031000000000000028,0.02100000000000002,-0.6000000000000085,-0.5699999999999932,-0.015000000000000013,3,1,0.7499998125000469,2014-15
Golden State Warriors,Cleveland Cavaliers,4,2,3,3,1,2,West,East,67,53,NBA Finals,Golden State Warriors,Cleveland Cavaliers,7.0,1.0,6.0,2.0,0.30000000000001137,-5.8999999999999915,-4.8999999999999915,7.7,5.1000000000000005,0.07200000000000006,0.34999999999999987,2.599999999999998,-0.03799999999999998,-0.008000000000000007,-0.015000000000000013,-0.007000000000000006,0.020000000000000018,0.013999999999999901,5.900000000000006,6.049999999999997,0.05499999999999994,1,1,0.499999750000125,2014-15
Golden State Warriors,Houston Rockets,4,1,3,2,1,2,West,West,67,56,Conf Finals,Golden State Warriors,Houston Rockets,6.0,0.0,7.0,5.5,4.400000000000006,-2.299999999999997,-2.1999999999999886,7.7,6.5,0.05900000000000005,0.5699999999999998,3.1999999999999993,-0.03199999999999997,0.016999999999999904,0.0020000000000000018,-0.025000000000000022,0.028000000000000025,0.02299999999999991,1.4000000000000057,1.9200000000000017,0.05999999999999994,4,0,0.9999997500000625,2014-15
Golden State Warriors,Memphis Grizzlies,4,2,3,3,1,5,West,West,67,55,Conf Semis,Golden State Warriors,Memphis Grizzlies,12.0,5.0,7.0,6.6000000000000085,5.6000000000000085,-1.7000000000000028,-0.7999999999999972,8.3,6.4,0.08500000000000008,0.2799999999999998,2.8000000000000007,-0.014999999999999958,-0.013000000000000012,-0.0050000000000000044,0.0030000000000000027,0.051000000000000045,0.039999999999999925,6.5,6.460000000000008,0.038999999999999924,2,1,0.6666664444445185,2014-15
Golden State Warriors,New Orleans Pelicans,4,0,2,2,1,8,West,West,67,45,First Round,Golden State Warriors,New Orleans Pelicans,11.0,1.0,9.0,4.299999999999997,3.3000000000000114,-6.5,-5.8999999999999915,10.700000000000001,9.1,0.07800000000000007,0.24,2.599999999999998,-0.035999999999999976,-0.009000000000000008,-0.013000000000000012,0.0020000000000000018,0.039000000000000035,0.03399999999999992,7.0,6.989999999999995,0.06099999999999994,3,1,0.7499998125000469,2014-15
