SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
41998,1610612759,SAS,San Antonio Spurs,0049800076,1999-05-29,SAS vs. POR,W,234,80,31,76,0.408,1,10,0.1,17,22,0.773,12,23,35,19,6,7,7,15,4.0
41998,1610612757,POR,Portland Trail Blazers,0049800076,1999-05-29,POR @ SAS,L,236,76,32,69,0.464,4,7,0.571,8,9,0.889,9,26,35,26,2,6,13,17,-4.0
41998,1610612762,UTA,Utah Jazz,0049800062,1999-05-27,UTA @ POR,L,235,80,26,68,0.382,3,14,0.214,25,30,0.833,4,25,29,20,5,6,10,30,-12.0
41998,1610612757,POR,Portland Trail Blazers,0049800062,1999-05-27,POR vs. UTA,W,235,92,28,69,0.406,5,15,0.333,31,34,0.912,8,34,42,18,6,6,11,29,12.0
41998,1610612757,POR,Portland Trail Blazers,0049800058,1999-05-25,POR @ UTA,L,234,71,23,67,0.343,2,14,0.143,23,30,0.767,10,21,31,10,3,4,9,26,-17.0
41998,1610612762,UTA,Utah Jazz,0049800058,1999-05-25,UTA vs. POR,W,235,88,33,66,0.5,5,8,0.625,17,26,0.654,12,33,45,24,2,8,9,26,17.0
41998,1610612752,NYK,New York Knicks,0049800056,1999-05-24,NYK vs. ATL,W,236,79,30,65,0.462,2,8,0.25,17,26,0.654,7,37,44,17,7,5,18,23,13.0
41998,1610612737,ATL,Atlanta Hawks,0049800056,1999-05-24,ATL @ NYK,L,235,66,23,78,0.295,2,12,0.167,18,21,0.857,11,27,38,14,12,2,15,22,-13.0
41998,1610612752,NYK,New York Knicks,0049800053,1999-05-23,NYK vs. ATL,W,236,90,37,82,0.451,4,11,0.364,12,17,0.706,14,31,45,21,4,5,8,25,12.0
41998,1610612754,IND,Indiana Pacers,0049800052,1999-05-23,IND @ PHI,W,234,89,27,67,0.403,8,20,0.4,27,33,0.818,11,34,45,19,5,9,13,17,3.0
41998,1610612759,SAS,San Antonio Spurs,0049800054,1999-05-23,SAS @ LAL,W,235,118,36,60,0.6,7,12,0.583,39,54,0.722,4,31,35,28,6,3,20,33,11.0
41998,1610612737,ATL,Atlanta Hawks,0049800053,1999-05-23,ATL @ NYK,L,236,78,27,87,0.31,2,11,0.182,22,24,0.917,20,30,50,10,4,6,10,18,-12.0
41998,1610612762,UTA,Utah Jazz,0049800055,1999-05-23,UTA @ POR,L,235,75,29,70,0.414,1,8,0.125,16,26,0.615,5,29,34,21,9,4,17,35,-6.0
41998,1610612757,POR,Portland Trail Blazers,0049800055,1999-05-23,POR vs. UTA,W,234,81,22,64,0.344,4,10,0.4,33,42,0.786,10,34,44,10,7,4,17,22,6.0
41998,1610612747,LAL,Los Angeles Lakers,0049800054,1999-05-23,LAL vs. SAS,L,235,107,41,92,0.446,2,17,0.118,23,36,0.639,19,25,44,22,8,2,15,39,-11.0
41998,1610612755,PHI,Philadelphia 76ers,0049800052,1999-05-23,PHI vs. IND,L,236,86,36,88,0.409,2,8,0.25,12,15,0.8,14,31,45,18,6,4,7,25,-3.0
41998,1610612759,SAS,San Antonio Spurs,0049800051,1999-05-22,SAS @ LAL,W,235,103,36,78,0.462,4,13,0.308,27,33,0.818,13,35,48,22,9,1,15,30,12.0
41998,1610612762,UTA,Utah Jazz,0049800050,1999-05-22,UTA @ POR,L,234,87,28,72,0.389,2,9,0.222,29,36,0.806,13,32,45,17,9,3,16,35,-10.0
41998,1610612747,LAL,Los Angeles Lakers,0049800051,1999-05-22,LAL vs. SAS,L,235,91,31,75,0.413,6,19,0.316,23,36,0.639,11,27,38,17,9,7,14,27,-12.0
