SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42002,1610612751,NJN,New Jersey Nets,0040200406,2003-06-15,NJN @ SAS,L,240,77,30,87,0.345,6,21,0.286,11,13,0.846,8,27,35,14,8,5,11,25,-11.0
42002,1610612759,SAS,San Antonio Spurs,0040200406,2003-06-15,SAS vs. NJN,W,240,88,34,74,0.459,3,15,0.2,17,25,0.68,11,44,55,20,4,13,19,14,11.0
42002,1610612759,SAS,San Antonio Spurs,0040200405,2003-06-13,SAS @ NJN,W,240,93,33,69,0.478,3,9,0.333,24,29,0.828,8,31,39,15,10,9,15,29,10.0
42002,1610612751,NJN,New Jersey Nets,0040200405,2003-06-13,NJN vs. SAS,L,240,83,26,74,0.351,4,16,0.25,27,34,0.794,17,25,42,15,7,5,16,25,-10.0
42002,1610612759,SAS,San Antonio Spurs,0040200404,2003-06-11,SAS @ NJN,L,240,76,26,90,0.289,4,18,0.222,20,24,0.833,22,31,53,14,10,10,11,27,-1.0
42002,1610612751,NJN,New Jersey Nets,0040200404,2003-06-11,NJN vs. SAS,W,240,77,28,78,0.359,1,9,0.111,20,29,0.69,19,34,53,19,5,13,16,22,1.0
42002,1610612751,NJN,New Jersey Nets,0040200403,2003-06-08,NJN vs. SAS,L,240,79,30,81,0.37,4,13,0.308,15,17,0.882,14,27,41,17,13,5,18,26,-5.0
42002,1610612759,SAS,San Antonio Spurs,0040200403,2003-06-08,SAS @ NJN,W,240,84,28,67,0.418,5,10,0.5,23,35,0.657,9,29,38,19,10,8,17,17,5.0
42002,1610612759,SAS,San Antonio Spurs,0040200402,2003-06-06,SAS vs. NJN,L,240,85,33,68,0.485,5,13,0.385,14,25,0.56,14,29,43,17,6,7,21,16,-2.0
42002,1610612751,NJN,New Jersey Nets,0040200402,2003-06-06,NJN @ SAS,W,240,87,35,83,0.422,4,11,0.364,13,16,0.813,15,24,39,16,9,5,13,21,2.0
42002,1610612759,SAS,San Antonio Spurs,0040200401,2003-06-04,SAS vs. NJN,W,240,101,39,79,0.494,4,10,0.4,19,28,0.679,10,37,47,24,7,12,12,20,12.0
42002,1610612751,NJN,New Jersey Nets,0040200401,2003-06-04,NJN @ SAS,L,240,89,33,89,0.371,4,13,0.308,19,25,0.76,13,32,45,19,5,5,8,26,-12.0
42002,1610612742,DAL,Dallas Mavericks,0040200316,2003-05-29,DAL vs. SAS,L,240,78,33,78,0.423,5,18,0.278,7,11,0.636,8,34,42,21,4,10,17,20,-12.0
42002,1610612759,SAS,San Antonio Spurs,0040200316,2003-05-29,SAS @ DAL,W,240,90,33,76,0.434,10,19,0.526,14,21,0.667,9,35,44,25,8,5,17,18,12.0
42002,1610612759,SAS,San Antonio Spurs,0040200315,2003-05-27,SAS vs. DAL,L,240,91,31,70,0.443,5,22,0.227,24,38,0.632,9,29,38,24,4,11,14,19,-12.0
42002,1610612742,DAL,Dallas Mavericks,0040200315,2003-05-27,DAL @ SAS,W,240,103,36,83,0.434,8,22,0.364,23,23,1.0,11,31,42,16,9,2,11,25,12.0
42002,1610612759,SAS,San Antonio Spurs,0040200314,2003-05-25,SAS @ DAL,W,240,102,35,76,0.461,6,23,0.261,26,31,0.839,14,35,49,19,11,6,11,18,7.0
42002,1610612742,DAL,Dallas Mavericks,0040200314,2003-05-25,DAL vs. SAS,L,240,95,37,85,0.435,12,31,0.387,9,13,0.692,14,26,40,15,5,7,13,22,-7.0
42002,1610612751,NJN,New Jersey Nets,0040200304,2003-05-24,NJN vs. DET,W,240,102,42,79,0.532,4,10,0.4,14,16,0.875,13,38,51,27,6,3,17,24,20.0
42002,1610612765,DET,Detroit Pistons,0040200304,2003-05-24,DET @ NJN,L,240,82,28,74,0.378,7,14,0.5,19,24,0.792,8,19,27,18,9,6,11,19,-20.0
42002,1610612759,SAS,San Antonio Spurs,0040200313,2003-05-23,SAS @ DAL,W,240,96,36,84,0.429,5,15,0.333,19,26,0.731,19,40,59,19,9,11,16,15,13.0
42002,1610612742,DAL,Dallas Mavericks,0040200313,2003-05-23,DAL vs. SAS,L,240,83,35,87,0.402,9,19,0.474,4,6,0.667,7,29,36,24,8,8,13,23,-13.0
42002,1610612751,NJN,New Jersey Nets,0040200303,2003-05-22,NJN vs. DET,W,240,97,34,82,0.415,4,8,0.5,25,37,0.676,19,31,50,19,12,9,11,26,12.0
42002,1610612765,DET,Detroit Pistons,0040200303,2003-05-22,DET @ NJN,L,240,85,29,73,0.397,5,11,0.455,22,28,0.786,9,30,39,20,6,9,18,26,-12.0
42002,1610612742,DAL,Dallas Mavericks,0040200312,2003-05-21,DAL @ SAS,L,240,106,37,90,0.411,12,30,0.4,20,22,0.909,8,33,41,22,9,2,11,26,-13.0
42002,1610612759,SAS,San Antonio Spurs,0040200312,2003-05-21,SAS vs. DAL,W,240,119,39,81,0.481,4,11,0.364,37,45,0.822,10,41,51,24,7,6,14,22,13.0
42002,1610612751,NJN,New Jersey Nets,0040200302,2003-05-20,NJN @ DET,W,240,88,33,84,0.393,3,8,0.375,19,24,0.792,19,32,51,14,6,1,14,25,1.0
42002,1610612765,DET,Detroit Pistons,0040200302,2003-05-20,DET vs. NJN,L,240,86,29,68,0.426,5,14,0.357,23,34,0.676,7,29,36,16,7,8,12,23,-1.0
42002,1610612742,DAL,Dallas Mavericks,0040200311,2003-05-19,DAL @ SAS,W,240,113,29,72,0.403,6,16,0.375,49,50,0.98,10,36,46,10,4,5,14,36,3.0
42002,1610612759,SAS,San Antonio Spurs,0040200311,2003-05-19,SAS vs. DAL,L,240,110,36,74,0.486,7,20,0.35,31,48,0.646,7,30,37,23,9,1,9,36,-3.0
42002,1610612751,NJN,New Jersey Nets,0040200301,2003-05-18,NJN @ DET,W,240,76,31,78,0.397,1,10,0.1,13,19,0.684,9,39,48,18,10,7,14,29,2.0
42002,1610612765,DET,Detroit Pistons,0040200301,2003-05-18,DET vs. NJN,L,240,74,25,71,0.352,4,12,0.333,20,30,0.667,8,35,43,13,5,4,12,18,-2.0
42002,1610612742,DAL,Dallas Mavericks,0040200237,2003-05-17,DAL vs. SAC,W,240,112,45,91,0.495,11,20,0.55,11,16,0.688,8,40,48,27,6,5,7,19,13.0
42002,1610612758,SAC,Sacramento Kings,0040200237,2003-05-17,SAC @ DAL,L,240,99,36,86,0.419,8,25,0.32,19,24,0.792,9,34,43,20,4,10,9,17,-13.0
42002,1610612755,PHI,Philadelphia 76ers,0040200206,2003-05-16,PHI vs. DET,L,265,89,33,79,0.418,4,9,0.444,19,22,0.864,11,40,51,16,4,2,17,32,-4.0
42002,1610612765,DET,Detroit Pistons,0040200206,2003-05-16,DET @ PHI,W,265,93,27,79,0.342,8,29,0.276,31,38,0.816,13,31,44,16,12,6,11,29,4.0
42002,1610612747,LAL,Los Angeles Lakers,0040200226,2003-05-15,LAL vs. SAS,L,240,82,36,80,0.45,4,18,0.222,6,13,0.462,10,22,32,24,8,4,13,24,-28.0
42002,1610612742,DAL,Dallas Mavericks,0040200236,2003-05-15,DAL @ SAC,L,240,109,40,82,0.488,10,26,0.385,19,22,0.864,6,32,38,16,4,9,14,23,-6.0
42002,1610612758,SAC,Sacramento Kings,0040200236,2003-05-15,SAC vs. DAL,W,240,115,39,94,0.415,6,17,0.353,31,32,0.969,15,32,47,18,8,3,9,16,6.0
42002,1610612759,SAS,San Antonio Spurs,0040200226,2003-05-15,SAS @ LAL,W,240,110,44,79,0.557,6,9,0.667,16,23,0.696,13,31,44,21,9,4,10,19,28.0
42002,1610612755,PHI,Philadelphia 76ers,0040200205,2003-05-14,PHI @ DET,L,240,77,29,79,0.367,4,7,0.571,15,20,0.75,15,36,51,17,7,4,14,19,-1.0
42002,1610612765,DET,Detroit Pistons,0040200205,2003-05-14,DET vs. PHI,W,240,78,29,74,0.392,8,22,0.364,12,17,0.706,7,30,37,18,6,11,12,21,1.0
42002,1610612758,SAC,Sacramento Kings,0040200235,2003-05-13,SAC @ DAL,L,240,93,33,92,0.359,7,18,0.389,20,27,0.741,17,36,53,19,2,3,13,32,-19.0
42002,1610612742,DAL,Dallas Mavericks,0040200235,2003-05-13,DAL vs. SAC,W,240,112,38,86,0.442,7,23,0.304,29,36,0.806,15,43,58,23,8,11,11,25,19.0
42002,1610612759,SAS,San Antonio Spurs,0040200225,2003-05-13,SAS vs. LAL,W,240,96,38,79,0.481,3,8,0.375,17,26,0.654,11,30,41,18,9,5,9,15,2.0
42002,1610612747,LAL,Los Angeles Lakers,0040200225,2003-05-13,LAL @ SAS,L,240,94,38,81,0.469,6,22,0.273,12,17,0.706,11,30,41,15,6,4,13,21,-2.0
42002,1610612738,BOS,Boston Celtics,0040200214,2003-05-12,BOS vs. NJN,L,290,101,36,90,0.4,7,23,0.304,22,28,0.786,10,41,51,23,16,4,20,27,-9.0
42002,1610612751,NJN,New Jersey Nets,0040200214,2003-05-12,NJN @ BOS,W,290,110,40,93,0.43,11,22,0.5,19,26,0.731,11,35,46,24,13,2,22,29,9.0
42002,1610612765,DET,Detroit Pistons,0040200204,2003-05-11,DET @ PHI,L,240,82,29,68,0.426,6,21,0.286,18,23,0.783,10,27,37,20,4,2,18,23,-13.0
42002,1610612742,DAL,Dallas Mavericks,0040200234,2003-05-11,DAL @ SAC,L,240,83,36,95,0.379,3,20,0.15,8,15,0.533,17,36,53,16,4,3,16,22,-16.0
42002,1610612758,SAC,Sacramento Kings,0040200234,2003-05-11,SAC vs. DAL,W,240,99,40,90,0.444,3,21,0.143,16,23,0.696,9,38,47,25,9,5,9,19,16.0
42002,1610612755,PHI,Philadelphia 76ers,0040200204,2003-05-11,PHI vs. DET,W,240,95,37,71,0.521,2,8,0.25,19,27,0.704,5,29,34,21,13,4,8,22,13.0
42002,1610612759,SAS,San Antonio Spurs,0040200224,2003-05-11,SAS @ LAL,L,240,95,33,74,0.446,9,18,0.5,20,26,0.769,9,32,41,18,2,2,14,31,-4.0
42002,1610612747,LAL,Los Angeles Lakers,0040200224,2003-05-11,LAL vs. SAS,W,240,99,28,71,0.394,8,16,0.5,35,45,0.778,13,29,42,14,7,8,13,26,4.0
42002,1610612765,DET,Detroit Pistons,0040200203,2003-05-10,DET @ PHI,L,240,83,26,72,0.361,10,21,0.476,21,26,0.808,12,18,30,17,12,4,11,23,-10.0
42002,1610612758,SAC,Sacramento Kings,0040200233,2003-05-10,SAC vs. DAL,L,290,137,52,108,0.481,9,26,0.346,24,36,0.667,16,44,60,25,5,1,14,25,-4.0
42002,1610612742,DAL,Dallas Mavericks,0040200233,2003-05-10,DAL @ SAC,W,290,141,53,110,0.482,19,42,0.452,16,20,0.8,11,36,47,28,7,2,10,31,4.0
42002,1610612755,PHI,Philadelphia 76ers,0040200203,2003-05-10,PHI vs. DET,W,240,93,32,72,0.444,3,9,0.333,26,29,0.897,16,32,48,17,5,0,18,23,10.0
42002,1610612747,LAL,Los Angeles Lakers,0040200223,2003-05-09,LAL vs. SAS,W,240,110,36,71,0.507,5,13,0.385,33,40,0.825,11,35,46,21,5,7,18,24,15.0
