LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22011,1610612741,Chicago,Bulls,East,38-10,1,Central,13-1,1,50,16,0.758,50-16,26-7,24-9,7-3,7-3,7-3,3-1,5-2,31-8,8,W 8,7,W 7,8,2,2,W 2,1,W 1,3,W 3,0.0,0.0,1,39-3,10-13,1-0,41-3,7-13,2-0,22-0,8-5,19-11,38-3,42-7,23-5,96.0,88.0,8.0,38-10,13-4,13-1,12-5,12-6,2-3,5-1,5-2,15-4,11-3,13-3,8-5,,,3-1,27-8,Chicago Bulls,3188.0,104.5,106.3,95.3,97.5,9.3,8.8,0.619,1.65,17.7,0.361,0.703,0.536,0.154,0.49,0.523,91.8,89.98,74.98,5982,0.561,1,1,1,16,5,1,1,3,4,4,1,8,1,14,14,19,28,1
0,22011,1610612759,San Antonio,Spurs,West,35-13,1,Southwest,12-4,1,50,16,0.758,50-16,28-5,22-11,10-0,9-1,9-1,3-1,5-4,31-7,9,W 9,8,W 8,11,2,5,W 5,5,W 5,10,W 10,0.0,0.0,1,41-2,9-13,0-1,42-3,5-12,3-1,38-4,17-10,27-11,36-4,36-3,25-6,104.0,96.0,7.0,15-3,6-0,4-2,5-1,35-13,10-6,13-3,12-4,10-8,11-2,12-3,14-2,,,3-1,24-10,San Antonio Spurs,3188.0,108.5,110.0,100.6,102.3,7.9,7.7,0.585,1.71,17.8,0.282,0.72,0.507,0.144,0.528,0.562,95.1,93.67,78.06,6220,0.546,1,1,1,16,1,11,2,13,2,3,25,2,10,2,1,2,8,3
0,22011,1610612748,Miami,Heat,East,35-13,2,Southeast,9-5,1,46,20,0.697,46-20,28-5,18-15,6-4,7-3,4-6,2-4,6-2,29-10,17,W 17,6,W 6,9,3,1,W 1,-2,L 2,-2,L 2,4.0,0.0,1,37-7,8-13,1-0,38-5,6-14,2-1,25-4,5-11,25-14,40-6,34-5,32-7,98.0,93.0,6.0,35-13,14-3,12-5,9-5,11-7,3-3,3-3,5-1,12-5,11-2,10-6,9-7,,,4-0,27-7,Miami Heat,3208.0,104.3,105.6,97.1,99.2,7.2,6.4,0.538,1.31,15.9,0.299,0.693,0.504,0.163,0.505,0.549,93.7,92.07,76.73,6154,0.553,4,4,4,6,6,4,3,24,24,20,21,13,12,21,6,4,16,2
0,22011,1610612760,Oklahoma City,Thunder,West,34-14,2,Northwest,10-3,1,47,19,0.712,47-19,26-7,21-12,6-4,7-3,6-4,3-1,5-4,27-5,14,W 14,4,W 4,7,3,-1,L 1,-1,L 1,-1,L 1,3.0,0.0,1,38-7,9-11,0-1,39-5,6-12,2-2,35-7,12-12,21-15,38-10,31-5,17-1,103.0,97.0,6.0,13-5,6-0,3-2,4-3,34-14,10-3,12-5,12-6,11-4,12-3,11-5,8-7,,,5-0,27-7,Oklahoma City Thunder,3198.0,107.1,108.4,100.0,102.1,7.2,6.3,0.497,1.13,14.6,0.304,0.687,0.509,0.172,0.516,0.567,95.7,94.11,78.42,6273,0.542,3,3,3,8,2,9,4,30,30,30,19,21,7,28,3,1,5,4
0,22011,1610612754,Indiana,Pacers,East,29-19,3,Central,9-4,2,42,24,0.636,42-24,23-10,19-14,8-2,7-3,7-3,4-2,4-3,21-12,5,W 5,5,W 5,7,5,-1,L 1,5,W 5,-1,L 1,8.0,8.0,1,28-5,11-15,3-4,34-2,6-21,2-1,26-5,5-12,17-16,29-5,32-6,25-13,98.0,94.0,3.0,29-19,11-7,9-4,9-8,13-5,5-1,4-2,4-2,11-5,8-6,8-9,12-3,,,3-1,21-12,Indiana Pacers,3198.0,103.5,105.5,100.4,102.1,3.1,3.3,0.522,1.33,14.7,0.333,0.689,0.511,0.151,0.474,0.526,93.4,91.68,76.4,6115,0.521,5,5,5,8,8,10,7,28,22,28,4,19,5,11,23,16,20,10
0,22011,1610612747,Los Angeles,Lakers,West,32-16,3,Pacific,9-5,1,41,25,0.621,41-25,26-7,15-18,6-4,6-4,6-4,6-1,10-4,11-10,10,W 10,-4,L 4,5,3,1,W 1,-2,L 2,-1,L 1,9.0,0.0,1,31-8,9-17,1-0,31-5,7-19,3-1,18-4,10-16,26-19,35-6,31-11,7-5,97.0,96.0,1.0,9-9,5-2,1-4,3-3,32-16,12-6,9-5,11-5,10-7,8-5,11-6,9-5,,,3-2,20-14,Los Angeles Lakers,3213.0,103.3,104.5,101.7,103.2,1.7,1.3,0.611,1.49,17.3,0.327,0.719,0.532,0.162,0.491,0.534,92.9,91.72,76.43,6145,0.524,6,6,6,3,10,12,13,5,13,10,6,3,2,20,13,9,19,9
0,22011,1610612738,Boston,Celtics,East,32-16,4,Atlantic,8-6,1,39,27,0.591,39-27,24-9,15-18,7-3,9-1,6-4,3-1,6-5,19-11,8,W 8,-5,L 5,5,5,5,W 5,-2,L 2,2,W 2,11.0,0.0,1,26-5,12-22,1-0,31-2,7-25,1-0,14-4,3-6,17-20,37-12,20-2,19-12,92.0,89.0,3.0,32-16,8-6,9-8,15-2,7-11,3-3,2-4,2-4,9-7,7-7,12-5,10-5,,,1-3,15-17,Boston Celtics,3188.0,98.9,100.1,95.5,97.5,3.4,2.6,0.665,1.59,18.8,0.245,0.686,0.478,0.162,0.496,0.535,92.6,91.11,75.92,6055,0.535,10,10,10,16,24,2,11,1,8,1,30,23,28,19,10,7,22,5
0,22011,1610612763,Memphis,Grizzlies,West,26-22,4,Southwest,7-8,2,41,25,0.621,41-25,26-7,15-18,8-2,10-0,6-4,1-2,6-2,16-10,11,W 11,3,W 3,7,4,11,W 11,2,W 2,6,W 6,9.0,9.0,1,24-7,15-18,2-0,30-5,10-19,1-1,17-3,4-8,20-19,31-5,27-12,32-15,95.0,93.0,2.0,15-3,4-2,6-1,5-0,26-22,10-7,9-7,7-8,10-8,9-5,8-7,13-3,,,1-2,19-15,Memphis Grizzlies,3188.0,101.0,102.8,98.9,100.6,2.1,2.2,0.532,1.35,15.4,0.335,0.688,0.508,0.157,0.473,0.515,93.4,91.82,76.52,6099,0.514,6,6,6,16,20,7,12,26,18,24,3,20,8,15,25,24,18,13
0,22011,1610612746,Los Angeles,Clippers,West,29-19,5,Pacific,7-7,2,40,26,0.606,40-26,24-9,16-17,6-4,9-1,5-5,4-1,7-6,17-7,7,W 7,4,W 4,6,3,4,W 4,-3,L 3,-2,L 2,10.0,1.0,1,23-7,16-17,1-2,30-7,7-19,3-0,24-5,8-14,24-18,32-8,23-17,24-17,98.0,95.0,3.0,11-7,3-3,2-3,6-1,29-19,12-7,7-7,10-5,11-4,8-6,11-9,9-5,,,1-2,20-11,Los Angeles Clippers,3193.0,105.2,107.5,102.9,104.8,2.2,2.7,0.568,1.58,16.6,0.331,0.692,0.507,0.147,0.502,0.533,91.8,89.98,74.98,5989,0.517,8,8,8,10,4,18,10,19,9,13,5,16,9,3,7,12,27,12
0,22011,1610612737,Atlanta,Hawks,East,31-17,5,Southeast,11-3,2,40,26,0.606,40-26,23-10,17-16,7-3,7-3,5-5,5-3,6-8,17-13,6,W 6,4,W 4,4,3,2,W 2,2,W 2,2,W 2,10.0,6.0,1,30-7,9-19,1-0,32-6,8-19,0-1,27-4,5-7,15-19,34-4,24-4,24-12,97.0,93.0,3.0,31-17,9-8,11-6,11-3,9-9,4-2,3-4,2-3,13-5,4-9,11-8,9-3,,,3-1,20-14,Atlanta Hawks,3233.0,102.4,104.2,98.6,100.4,3.8,3.8,0.61,1.61,17.6,0.279,0.703,0.493,0.151,0.5,0.535,92.5,90.88,75.73,6117,0.526,8,8,8,1,13,6,6,6,5,6,26,9,22,10,8,8,23,8
0,22011,1610612743,Denver,Nuggets,West,22-26,6,Northwest,6-7,2,38,28,0.576,38-28,20-13,18-15,8-2,7-3,6-4,5-2,6-6,18-11,5,W 5,5,W 5,6,5,1,W 1,4,W 4,4,W 4,12.0,9.0,1,27-9,6-17,5-2,33-3,3-22,2-3,31-8,18-22,20-21,28-7,28-9,19-8,104.0,101.0,3.0,16-2,5-1,5-1,6-0,22-26,6-7,9-8,7-11,12-5,5-10,9-7,10-4,,,2-2,18-17,Denver Nuggets,3208.0,106.5,108.3,103.4,105.1,3.1,3.2,0.615,1.56,17.9,0.316,0.705,0.515,0.16,0.516,0.556,96.7,95.03,79.19,6346,0.527,11,11,11,6,3,22,9,4,10,2,10,7,4,18,2,3,2,7
0,22011,1610612753,Orlando,Magic,East,30-18,6,Southeast,8-7,3,37,29,0.561,37-29,21-12,16-17,4-6,5-5,3-7,1-4,2-5,18-16,4,W 4,4,W 4,5,5,2,W 2,-4,L 4,-1,L 1,13.0,9.0,1,27-8,8-18,2-3,29-6,7-22,1-1,25-5,5-13,16-22,28-2,26-10,11-6,94.0,93.0,1.0,30-18,10-6,12-5,8-7,7-11,2-5,4-1,1-5,9-8,11-4,9-7,5-9,,,3-1,22-13,Orlando Magic,3193.0,102.4,104.0,101.7,103.4,0.7,0.6,0.581,1.34,16.1,0.306,0.72,0.51,0.165,0.506,0.533,91.2,89.75,74.79,5978,0.493,12,12,12,10,15,13,15,14,19,17,18,1,6,23,4,10,29,20
0,22011,1610612752,New York,Knicks,East,28-20,7,Atlantic,8-6,2,36,30,0.545,36-30,22-11,14-19,7-3,9-1,5-5,1-2,7-3,19-15,9,W 9,-6,L 6,7,6,2,W 2,2,W 2,3,W 3,14.0,3.0,1,28-8,7-21,1-1,29-3,7-25,0-2,23-7,6-15,15-18,26-5,22-6,28-9,98.0,95.0,3.0,28-20,8-6,10-8,10-6,8-10,3-2,4-3,1-5,6-11,10-5,9-8,9-4,,,2-2,17-18,New York Knicks,3188.0,101.4,103.5,98.4,100.2,3.0,3.2,0.562,1.26,15.6,0.309,0.702,0.503,0.169,0.492,0.533,95.7,93.91,78.26,6242,0.52,13,13,13,16,17,5,8,22,27,22,16,11,13,27,12,11,6,11
