LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsWest,vsPacific,vsMidwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22001,1610612751,New Jersey,Nets,East,35-19,1,Atlantic,16-8,1,52,30,0.634,52-30,33-8,19-22,6-4,,,4-2,9-6,26-14,,,,,,,,,,,1,W 1,0.0,0.0,1,41-5,0-1,11-24,46-7,1-2,5-21,23-4,4-17,22-17,42-8,32-12,32-13,96.0,92.0,4.0,35-19,16-8,19-11,17-11,8-6,9-5,,,,,,,,32-15,New Jersey Nets,3966.0,101.1,102.4,96.6,98.1,4.5,4.3,0.654,1.67,18.2,0.322,0.683,0.503,0.154,0.476,0.515,94.5,93.2,77.67,7707,0.537,5,5,5,8,17,1,5,2,6,4,13,17,11,11,14,17,8,4
0,22001,1610612758,Sacramento,Kings,West,37-15,1,Pacific,15-9,1,61,21,0.744,61-21,36-5,25-16,8-2,,,1-2,6-1,39-15,,,,,,,,,,,-1,L 1,0.0,0.0,1,55-5,0-0,6-16,54-5,1-0,6-16,44-7,18-17,30-15,50-4,40-5,37-6,105.0,97.0,8.0,24-6,10-4,14-2,37-15,15-9,22-6,,,,,,,,37-12,Sacramento Kings,3951.0,106.4,107.9,98.6,99.7,7.7,8.1,0.6,1.74,17.7,0.306,0.69,0.502,0.142,0.497,0.539,98.0,96.74,80.61,7951,0.552,1,1,1,24,3,5,1,17,4,8,17,6,13,3,5,5,1,2
0,22001,1610612759,San Antonio,Spurs,West,38-14,2,Midwest,21-3,1,58,24,0.707,58-24,32-9,26-15,9-1,,,2-5,7-7,34-7,,,,,,,,,,,9,W 9,3.0,0.0,1,52-7,0-1,6-16,50-6,2-0,6-18,27-4,4-9,24-17,52-4,31-7,35-6,97.0,91.0,6.0,20-10,10-4,10-6,38-14,17-11,21-3,,,,,,,,31-17,San Antonio Spurs,3971.0,104.0,105.4,96.5,98.5,7.5,6.9,0.564,1.39,16.0,0.301,0.685,0.501,0.157,0.492,0.539,92.6,91.06,75.88,7528,0.554,2,2,2,6,8,2,3,28,23,25,20,14,14,14,8,6,20,1
0,22001,1610612765,Detroit,Pistons,East,38-16,2,Central,20-8,1,50,32,0.61,50-32,26-15,24-17,7-3,,,0-0,9-8,19-14,,,,,,,,,,,3,W 3,2.0,0.0,1,36-11,1-0,13-21,38-7,3-0,9-25,24-1,7-14,23-15,36-6,17-6,31-12,94.0,92.0,2.0,38-16,18-8,20-8,12-16,4-10,8-6,,,,,,,,26-21,Detroit Pistons,3936.0,102.5,103.2,99.3,100.9,3.3,2.3,0.62,1.48,17.3,0.277,0.676,0.481,0.159,0.497,0.54,92.4,91.38,76.15,7495,0.523,6,6,6,29,13,8,9,10,18,12,28,20,28,18,6,4,16,7
0,22001,1610612738,Boston,Celtics,East,35-19,3,Atlantic,17-7,2,49,33,0.598,49-33,27-14,22-19,8-2,,,4-2,8-9,19-13,,,,,,,,,,,4,W 4,3.0,3.0,1,37-11,1-0,11-22,35-7,3-2,11-24,31-5,8-13,18-17,36-4,20-4,33-20,96.0,94.0,2.0,35-19,17-7,18-12,14-14,8-6,6-8,,,,,,,,28-21,Boston Celtics,3966.0,101.1,102.1,98.0,99.9,3.1,2.2,0.604,1.55,16.4,0.272,0.695,0.481,0.144,0.476,0.52,95.0,93.6,78.0,7738,0.5,8,8,8,8,18,6,10,16,12,23,29,5,27,5,15,14,5,16
0,22001,1610612747,Los Angeles,Lakers,West,37-15,3,Pacific,16-8,2,58,24,0.707,58-24,34-7,24-17,7-3,,,1-2,7-5,33-10,,,,,,,,,,,2,W 2,3.0,3.0,1,41-9,3-0,14-15,46-4,0-1,12-19,36-8,7-14,29-12,50-6,37-9,35-13,101.0,94.0,7.0,21-9,9-5,12-4,37-15,16-8,21-7,,,,,,,,33-13,Los Angeles Lakers,3956.0,106.5,108.0,98.7,100.4,7.8,7.6,0.597,1.81,17.5,0.311,0.686,0.501,0.135,0.498,0.534,94.8,93.32,77.77,7691,0.549,2,2,2,20,2,7,2,18,3,10,16,10,15,2,4,7,6,3
0,22001,1610612742,Dallas,Mavericks,West,34-18,4,Midwest,16-8,2,57,25,0.695,57-25,30-11,27-14,7-3,,,5-2,6-6,31-11,,,,,,,,,,,-1,L 1,4.0,1.0,1,41-6,2-0,14-19,49-2,1-0,7-23,47-10,26-20,26-13,44-3,27-4,38-13,105.0,101.0,4.0,23-7,9-5,14-2,34-18,18-10,16-8,,,,,,,,35-14,Dallas Mavericks,3976.0,109.5,110.3,104.8,106.0,4.7,4.3,0.566,1.83,16.9,0.285,0.683,0.487,0.127,0.507,0.553,95.3,94.36,78.63,7823,0.517,4,4,4,5,1,24,4,27,1,16,27,18,25,1,2,1,4,11
0,22001,1610612766,Charlotte,Hornets,East,31-23,4,Central,17-11,2,44,38,0.537,44-38,21-20,23-18,6-4,8-2,6-4,1-2,6-6,17-16,5.0,W 5,5.0,W 5,7.0,3.0,2.0,W 2,1.0,W 1,2,W 2,8.0,6.0,0,33-13,10-24,1-1,35-7,7-28,2-3,20-3,8-16,0-0,35-5,31-18,20-16,94.0,93.0,1.0,31-23,14-12,17-11,13-15,7-7,6-8,,,,,,,,23-25,Charlotte Hornets,3951.0,101.4,102.9,100.0,101.8,1.4,1.2,0.608,1.53,16.7,0.333,0.689,0.511,0.154,0.466,0.513,92.5,90.93,75.77,7480,0.513,11,11,11,24,14,10,13,14,13,19,9,8,7,10,20,19,21,12
0,22001,1610612750,Minnesota,Timberwolves,West,29-23,5,Midwest,15-9,3,50,32,0.61,50-32,29-12,21-20,6-4,,,2-2,9-5,27-12,,,,,,,,,,,1,W 1,11.0,8.0,1,36-8,3-2,11-22,45-7,0-2,5-23,30-12,13-18,21-17,45-8,40-16,28-11,99.0,96.0,3.0,21-9,10-4,11-5,29-23,14-14,15-9,,,,,,,,33-16,Minnesota Timberwolves,3961.0,105.8,107.5,102.2,104.1,3.6,3.4,0.628,1.82,18.4,0.343,0.703,0.524,0.145,0.49,0.532,93.3,91.72,76.43,7578,0.529,6,6,6,15,4,17,6,7,2,1,5,3,1,7,9,9,13,6
0,22001,1610612753,Orlando,Magic,East,29-25,5,Atlantic,12-12,3,44,38,0.537,44-38,27-14,17-24,5-5,,,1-4,4-3,23-19,,,,,,,,,,,-1,L 1,8.0,8.0,1,36-10,0-2,8-26,38-9,1-0,5-29,29-12,13-31,10-20,35-3,19-6,28-22,101.0,99.0,2.0,29-25,12-12,17-13,15-13,6-8,9-5,,,,,,,,25-24,Orlando Magic,3966.0,104.1,105.6,102.5,104.1,1.6,1.5,0.584,1.61,16.8,0.292,0.665,0.477,0.143,0.493,0.533,95.8,94.4,78.67,7805,0.497,11,11,11,8,7,15,12,21,8,18,25,27,29,4,7,8,3,17
0,22001,1610612755,Philadelphia,76ers,East,31-23,6,Atlantic,14-11,4,43,39,0.524,43-39,22-19,21-20,5-5,,,2-0,3-5,19-13,,,,,,,,,,,-2,L 2,9.0,9.0,1,28-8,2-1,13-30,33-6,1-1,9-32,15-1,4-9,18-20,35-11,29-23,21-11,91.0,89.0,2.0,31-23,14-11,17-12,12-16,7-7,5-9,,,,,,,,25-24,Philadelphia 76ers,3946.0,99.1,100.5,97.5,98.7,1.6,1.8,0.584,1.3,15.8,0.341,0.702,0.523,0.169,0.452,0.507,91.5,90.32,75.27,7424,0.52,14,14,14,27,23,3,11,22,26,26,7,4,2,26,28,23,25,9
0,22001,1610612757,Portland,Trail Blazers,West,27-25,6,Pacific,14-10,3,49,33,0.598,49-33,30-11,19-22,5-5,,,3-2,5-9,20-17,,,,,,,,,,,3,W 3,12.0,12.0,1,32-11,3-0,14-22,36-8,2-1,11-24,26-5,9-13,18-19,30-5,38-15,26-14,97.0,94.0,3.0,22-8,10-4,12-4,27-25,14-10,13-15,,,,,,,,25-23,Portland Trail Blazers,3966.0,104.4,105.9,101.0,102.6,3.4,3.3,0.641,1.64,18.0,0.345,0.703,0.522,0.157,0.485,0.528,92.0,90.55,75.46,7482,0.518,8,8,8,8,6,13,7,6,7,5,4,2,3,13,10,11,23,10
0,22001,1610612760,Seattle,SuperSonics,West,26-26,7,Pacific,13-11,4,45,37,0.549,45-37,26-15,19-22,4-6,,,3-2,6-8,30-15,,,,,,,,,,,1,W 1,16.0,16.0,1,33-10,3-4,9-23,39-10,1-3,5-24,26-5,7-19,25-18,42-9,23-7,31-17,98.0,95.0,3.0,19-11,6-8,13-3,26-26,13-11,13-15,,,,,,,,25-23,Seattle SuperSonics,3966.0,105.8,107.3,102.5,104.1,3.4,3.3,0.615,1.71,18.3,0.32,0.656,0.49,0.151,0.505,0.54,91.7,90.35,75.3,7468,0.522,10,10,10,8,5,16,8,11,5,3,14,29,22,8,3,3,24,8
0,22001,1610612761,Toronto,Raptors,East,29-25,7,Central,17-11,3,42,40,0.512,42-40,24-17,18-23,8-2,,,3-0,13-7,16-16,,,,,,,,,,,1,W 1,10.0,8.0,1,31-13,1-0,10-27,32-7,1-1,9-32,16-3,5-13,16-24,34-5,28-15,24-17,91.0,92.0,0.0,29-25,12-14,17-11,13-15,6-8,7-7,,,,,,,,29-21,Toronto Raptors,3951.0,99.4,101.1,100.0,101.7,-0.6,-0.6,0.609,1.52,16.9,0.343,0.671,0.503,0.158,0.463,0.501,91.6,90.02,75.02,7414,0.496,15,15,15,24,22,9,18,13,15,15,6,24,12,17,24,25,26,18
0,22001,1610612754,Indiana,Pacers,East,27-27,8,Central,13-15,4,42,40,0.512,42-40,25-16,17-24,6-4,,,3-4,5-5,21-19,,,,,,,,,,,5,W 5,10.0,8.0,1,30-9,0-1,12-30,30-11,1-1,11-28,21-11,9-24,11-23,36-12,20-13,15-15,97.0,97.0,0.0,27-27,14-12,13-15,15-13,7-7,8-6,,,,,,,,25-25,Indiana Pacers,3981.0,101.2,102.8,101.1,102.4,0.1,0.4,0.642,1.51,17.6,0.302,0.686,0.499,0.162,0.477,0.527,94.5,93.13,77.61,7721,0.51,15,15,15,3,16,11,15,4,16,9,19,11,16,22,12,12,9,13
0,22001,1610612762,Utah,Jazz,West,25-27,8,Midwest,8-16,4,44,38,0.537,44-38,25-16,19-22,4-6,,,1-4,6-7,21-14,,,,,,,,,,,-2,L 2,17.0,14.0,1,30-11,2-0,12-27,39-6,0-1,5-31,23-6,7-22,12-24,35-6,34-25,27-11,96.0,95.0,1.0,19-11,10-4,9-7,25-27,17-11,8-16,,,,,,,,25-24,Utah Jazz,3966.0,102.4,103.8,101.6,102.9,0.8,0.9,0.697,1.48,18.4,0.362,0.683,0.521,0.178,0.472,0.529,93.0,91.75,76.46,7582,0.53,11,11,11,14,11,14,14,1,19,2,2,16,4,29,17,10,12,5
