LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsWest,vsPacific,vsMidwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22003,1610612754,Indiana,Pacers,East,61-21,1,Central,61-21,1,61,21,0.744,61-21,34-7,27-14,8-2,9-1,6-4,3-2,7-6,30-8,8,W 8,7,W 7,8,2,8,W 8,2,W 2,5,W 5,0.0,0.0,1,44-6,15-15,2-0,48-5,11-16,2-0,19-1,1-4,19-12,39-3,39-9,36-10,91.0,86.0,6.0,41-13,21-5,20-8,20-8,10-4,10-4,12-3,8-3,12-4,6-1,1-1,13-2,9-7,39-14,Indiana Pacers,3961.0,100.9,102.5,94.8,96.2,6.1,6.3,0.644,1.5,17.3,0.32,0.706,0.511,0.162,0.471,0.52,89.9,88.54,73.78,7311,0.539,1,1,1,15,8,3,3,4,8,8,11,5,7,13,16,10,26,5
0,22003,1610612750,Minnesota,Timberwolves,West,58-24,1,Midwest,58-24,1,58,24,0.707,58-24,31-10,27-14,9-1,7-3,6-4,2-1,6-6,34-6,14,W 14,6,W 6,9,2,6,W 6,5,W 5,9,W 9,0.0,0.0,1,37-5,18-19,3-0,48-9,8-15,2-0,21-3,5-6,27-14,54-9,39-9,35-10,95.0,89.0,5.0,24-6,10-4,14-2,34-18,20-8,14-10,12-3,11-4,9-7,6-0,1-1,8-7,11-2,37-15,Minnesota Timberwolves,3951.0,103.3,104.2,96.6,98.5,6.7,5.7,0.623,1.81,18.2,0.303,0.691,0.507,0.14,0.486,0.528,91.5,90.24,75.2,7441,0.554,2,2,2,23,5,6,4,8,3,3,23,9,11,2,4,5,20,3
0,22003,1610612751,New Jersey,Nets,East,47-35,2,Atlantic,47-35,1,47,35,0.573,47-35,28-13,19-22,5-5,6-4,2-8,1-0,3-7,33-17,9,W 9,6,W 6,14,5,2,W 2,-3,L 3,-2,L 2,14.0,0.0,1,33-12,12-22,2-1,38-9,5-24,4-2,11-2,1-10,13-19,45-5,30-11,33-16,90.0,88.0,3.0,34-20,18-7,16-13,13-15,8-6,5-9,8-6,11-2,7-9,4-4,1-1,6-8,10-5,31-20,New Jersey Nets,3941.0,98.2,99.0,95.2,96.4,3.0,2.6,0.714,1.66,19.1,0.289,0.711,0.501,0.162,0.471,0.515,91.9,90.97,75.81,7475,0.533,9,9,9,28,25,4,9,1,6,2,27,1,16,14,15,15,17,7
0,22003,1610612747,Los Angeles,Lakers,West,56-26,2,Pacific,56-26,1,56,26,0.683,56-26,34-7,22-19,7-3,8-2,6-4,5-0,14-5,24-16,12,W 12,9,W 9,11,4,2,W 2,1,W 1,2,W 2,2.0,0.0,1,41-4,14-21,1-1,43-4,12-22,1-0,31-3,14-15,23-18,47-4,29-5,36-11,98.0,94.0,4.0,25-5,13-1,12-4,31-21,15-9,16-12,6-9,11-4,13-3,5-3,1-0,13-3,7-4,31-19,Los Angeles Lakers,3971.0,102.7,104.2,98.7,100.1,4.0,4.1,0.643,1.72,17.9,0.313,0.701,0.506,0.146,0.481,0.522,94.8,93.39,77.82,7729,0.538,4,4,4,7,6,8,7,5,4,4,15,7,12,5,7,8,7,6
0,22003,1610612759,San Antonio,Spurs,West,57-25,3,Midwest,57-25,2,57,25,0.695,57-25,33-8,24-17,10-0,10-0,5-5,1-1,6-8,38-5,13,W 13,8,W 8,13,4,13,W 13,4,W 4,11,W 11,1.0,1.0,1,50-10,6-14,1-1,54-10,3-13,0-2,17-1,1-6,27-15,46-7,46-12,36-8,91.0,84.0,7.0,22-8,12-2,10-6,35-17,20-8,15-9,9-8,8-2,11-5,7-0,1-1,8-7,13-2,35-18,San Antonio Spurs,3951.0,99.8,101.0,91.6,93.1,8.2,7.9,0.59,1.39,16.3,0.319,0.71,0.516,0.162,0.473,0.511,91.5,90.23,75.19,7428,0.566,3,3,3,25,14,1,1,20,15,17,12,2,3,15,14,20,21,1
0,22003,1610612765,Detroit,Pistons,East,54-28,3,Central,54-28,2,54,28,0.659,54-28,31-10,23-18,8-2,10-0,6-4,3-1,6-12,30-4,11,W 11,5,W 5,13,6,11,W 11,-1,L 1,-1,L 1,7.0,7.0,1,41-9,11-18,2-1,43-8,9-18,2-2,17-1,3-1,18-15,40-7,35-14,30-9,90.0,84.0,6.0,37-17,20-6,17-11,17-11,9-5,8-6,13-3,6-8,10-3,6-1,1-1,11-5,7-7,33-21,Detroit Pistons,3956.0,99.1,100.3,92.5,93.9,6.6,6.5,0.62,1.37,16.6,0.332,0.686,0.512,0.168,0.461,0.511,90.5,89.34,74.45,7365,0.558,6,6,6,19,19,2,2,10,18,13,8,15,6,20,20,19,22,2
0,22003,1610612758,Sacramento,Kings,West,55-27,4,Pacific,55-27,2,55,27,0.671,55-27,34-7,21-20,4-6,8-2,2-8,1-3,5-4,29-9,10,W 10,5,W 5,8,2,1,W 1,-3,L 3,-2,L 2,3.0,1.0,1,39-9,15-18,1-0,47-6,6-20,2-1,40-9,15-19,25-15,44-4,22-3,35-7,103.0,98.0,5.0,24-6,9-5,15-1,31-21,16-8,15-13,12-4,10-3,9-7,3-5,2-0,10-4,9-4,37-13,Sacramento Kings,3956.0,107.3,108.6,102.2,103.2,5.1,5.4,0.694,1.89,19.6,0.292,0.676,0.488,0.146,0.507,0.554,95.3,94.25,78.54,7765,0.544,5,5,5,19,2,21,5,2,2,1,26,20,24,4,1,1,4,4
0,22003,1610612748,Miami,Heat,East,42-40,4,Atlantic,42-40,2,42,40,0.512,42-40,29-12,13-28,7-3,10-0,5-5,2-1,6-7,20-21,12,W 12,6,W 6,7,7,12,W 12,1,W 1,2,W 2,19.0,5.0,1,32-11,9-28,1-1,33-6,6-32,3-2,19-2,4-8,15-21,32-7,26-14,23-18,90.0,90.0,1.0,30-24,15-10,15-14,12-16,7-7,5-9,8-8,4-8,12-3,5-2,0-3,5-9,8-7,22-32,Miami Heat,3951.0,99.3,100.6,98.9,100.3,0.4,0.3,0.573,1.38,15.6,0.307,0.707,0.504,0.154,0.463,0.51,90.5,89.3,74.42,7361,0.496,12,12,12,23,17,9,13,26,17,25,20,4,13,7,19,21,23,13
0,22003,1610612740,New Orleans,Hornets,East,41-41,5,Central,41-41,3,41,41,0.5,41-41,25-16,16-25,4-6,5-5,3-7,3-3,9-5,18-17,6,W 6,10,W 10,4,4,-1,L 1,2,W 2,1,W 1,20.0,20.0,1,26-12,14-29,1-0,32-7,8-34,1-0,14-5,2-14,17-20,29-3,22-14,22-18,92.0,92.0,0.0,30-24,16-10,14-14,11-17,7-7,4-10,6-9,6-6,5-11,4-3,2-0,9-6,9-6,28-24,New Orleans Hornets,3966.0,99.1,100.7,99.5,100.6,-0.3,0.1,0.619,1.4,16.4,0.332,0.681,0.502,0.164,0.46,0.505,91.8,90.59,75.49,7476,0.491,14,14,14,11,15,11,14,11,14,15,9,16,15,18,22,24,19,15
0,22003,1610612742,Dallas,Mavericks,West,52-30,5,Midwest,52-30,3,52,30,0.634,52-30,36-5,16-25,8-2,9-1,5-5,2-2,8-7,30-14,10,W 10,5,W 5,9,4,7,W 7,1,W 1,2,W 2,6.0,6.0,0,38-6,13-23,1-1,47-7,5-23,0-0,43-14,16-26,27-15,38-3,37-10,43-18,105.0,101.0,4.0,19-11,10-4,9-7,33-19,19-9,14-10,11-6,9-2,8-8,6-2,1-1,10-5,7-6,33-19,Dallas Mavericks,3961.0,109.6,110.4,104.3,105.9,5.3,4.5,0.591,1.96,17.7,0.335,0.686,0.507,0.128,0.495,0.536,95.7,94.62,78.85,7814,0.527,7,7,7,15,1,26,6,19,1,6,6,14,10,1,3,3,2,8
