LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsWest,vsPacific,vsMidwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,21997,1610612741,Chicago,Bulls,East,42-12,1,Central,21-7,1,62,20,0.756,62-20,37-4,25-16,,,,4-1,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,97.0,90.0,7.0,42-12,21-5,21-7,20-8,10-4,10-4,,,,,,,,34-15,Chicago Bulls,3971.0,104.1,106.2,96.7,98.4,7.3,7.8,0.637,1.66,18.0,0.381,0.676,0.527,0.158,0.473,0.516,92.0,90.3,75.25,7471,0.56,1,1,1,9,8,3,3,10,4,8,2,7,2,7,19,19,22,2
0,21997,1610612762,Utah,Jazz,West,38-14,1,Midwest,22-2,1,62,20,0.756,62-20,36-5,26-15,,,,3-0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,101.0,94.0,7.0,24-6,11-3,13-3,38-14,16-12,22-2,,,,,,,,31-15,Utah Jazz,3956.0,109.3,110.9,102.3,103.8,7.0,7.2,0.692,1.64,19.4,0.352,0.684,0.529,0.169,0.51,0.569,91.9,90.55,75.46,7464,0.571,1,1,1,22,1,20,4,1,5,1,8,5,1,16,3,1,21,1
0,21997,1610612747,Los Angeles,Lakers,West,42-10,3,Pacific,16-8,1,61,21,0.744,61-21,33-8,28-13,,,,4-1,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,106.0,98.0,8.0,19-11,6-8,13-3,42-10,16-8,26-2,,,,,,,,34-11,Los Angeles Lakers,3966.0,109.2,110.4,100.7,102.3,8.5,8.1,0.639,1.6,18.1,0.339,0.656,0.503,0.16,0.519,0.559,96.1,94.85,79.04,7836,0.558,3,3,3,18,2,11,1,9,8,7,13,19,13,8,2,2,2,3
0,21997,1610612748,Miami,Heat,East,36-18,2,Atlantic,18-6,1,55,27,0.671,55-27,30-11,25-16,,,,1-2,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,95.0,90.0,5.0,36-18,18-6,18-12,19-9,9-5,10-4,,,,,,,,30-17,Miami Heat,3951.0,104.6,105.7,98.7,100.5,5.9,5.2,0.617,1.43,17.0,0.339,0.669,0.508,0.166,0.494,0.538,90.6,89.35,74.46,7367,0.535,8,8,8,24,11,6,7,15,11,14,12,11,9,14,8,8,27,8
0,21997,1610612760,Seattle,SuperSonics,West,39-13,2,Pacific,19-5,1,61,21,0.744,61-21,35-6,26-15,,,,3-0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,101.0,93.0,7.0,22-8,10-4,12-4,39-13,19-5,20-8,,,,,,,,37-10,Seattle SuperSonics,3951.0,108.5,110.1,100.4,102.3,8.1,7.9,0.651,1.73,18.7,0.321,0.635,0.481,0.153,0.521,0.558,92.5,90.96,75.8,7487,0.544,3,3,3,24,3,12,2,7,2,3,26,27,26,4,1,3,20,7
0,21997,1610612754,Indiana,Pacers,East,41-13,3,Central,19-9,2,58,24,0.707,58-24,32-9,26-15,,,,4-1,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,96.0,90.0,6.0,41-13,22-4,19-9,17-11,8-6,9-5,,,,,,,,33-13,Indiana Pacers,3966.0,105.6,106.3,98.4,99.5,7.2,6.8,0.647,1.62,18.3,0.305,0.657,0.49,0.158,0.502,0.55,90.5,89.69,74.75,7410,0.553,5,5,5,10,6,5,5,8,7,5,29,17,22,6,4,4,24,4
0,21997,1610612756,Phoenix,Suns,West,37-15,4,Pacific,17-7,3,56,26,0.683,56-26,30-11,26-15,,,,2-3,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,100.0,94.0,5.0,19-11,9-5,10-6,37-15,17-7,20-8,,,,,,,,31-15,Phoenix Suns,3991.0,104.5,106.3,98.8,100.6,5.7,5.6,0.677,1.72,19.3,0.321,0.664,0.497,0.161,0.5,0.54,94.1,92.47,77.06,7685,0.547,6,6,6,1,7,7,6,2,3,2,25,13,19,10,5,7,12,6
0,21997,1610612759,San Antonio,Spurs,West,33-19,5,Midwest,18-6,2,56,26,0.683,56-26,31-10,25-16,,,,2-3,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,93.0,89.0,4.0,23-7,12-2,11-5,33-19,15-13,18-6,,,,,,,,34-14,San Antonio Spurs,3966.0,101.5,102.4,96.2,98.0,5.3,4.4,0.635,1.4,17.7,0.326,0.696,0.524,0.178,0.493,0.531,90.9,89.65,74.71,7407,0.551,6,6,6,19,16,2,8,11,14,11,23,2,4,24,9,10,25,5
0,21997,1610612766,Charlotte,Hornets,East,31-23,4,Central,16-12,3,51,31,0.622,51-31,32-9,19-22,,,,2-1,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,97.0,95.0,2.0,31-23,15-11,16-12,20-8,9-5,11-3,,,,,,,,29-18,Charlotte Hornets,3956.0,104.7,105.5,102.7,103.3,2.0,2.2,0.654,1.56,18.3,0.326,0.691,0.51,0.166,0.495,0.542,91.8,91.13,75.95,7511,0.526,9,9,9,21,12,15,12,5,9,6,22,3,7,13,7,6,18,11
0,21997,1610612737,Atlanta,Hawks,East,34-20,5,Central,19-9,4,50,32,0.61,50-32,29-12,21-20,,,,5-2,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,96.0,92.0,4.0,34-20,15-11,19-9,16-12,8-6,8-6,,,,,,,,29-20,Atlanta Hawks,3976.0,105.1,106.5,100.8,102.5,4.3,4.0,0.543,1.29,15.3,0.356,0.669,0.518,0.165,0.481,0.533,90.5,89.1,74.25,7377,0.532,10,10,10,8,4,13,9,27,22,26,5,10,5,11,12,9,28,9
