LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22015,1610612739,Cleveland,Cavaliers,East,35-17,1,Central,8-8,1,57,25,0.695,57-25,33-8,24-17,6-4,7-3,5-5,3-3,4-7,32-8,9,W 9,6,W 6,8,3,-1,L 1,-2,L 2,-1,L 1,0.0,0.0,1,46-8,11-16,0-1,49-7,6-17,2-1,45-9,25-16,29-14,43-3,49-7,24-10,104.0,98.0,6.0,35-17,14-4,8-8,13-5,22-8,8-2,8-2,6-4,13-3,8-5,11-5,4-3,2-1,11-3,8-5,38-14,Cleveland Cavaliers,3971.0,108.1,110.2,102.3,103.9,5.8,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,95.5,93.82,78.19,7764,0.528,3,3,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5
0,22015,1610612744,Golden State,Warriors,West,46-6,1,Pacific,15-1,1,73,9,0.89,73-9,39-2,34-7,8-2,8-2,8-2,6-1,7-2,44-5,36,W 36,14,W 14,24,1,2,W 2,4,W 4,4,W 4,0.0,0.0,1,64-1,8-8,1-0,61-1,10-7,2-1,71-4,46-8,38-5,67-1,45-3,31-3,115.0,104.0,11.0,27-3,9-1,8-2,10-0,46-6,15-3,15-1,16-2,14-2,9-1,15-2,5-2,3-0,16-0,11-2,48-4,Golden State Warriors,3976.0,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,1,1,5,1,6,2,1,1,1,22,15,11,18,1,1,2,2
0,22015,1610612759,San Antonio,Spurs,West,43-9,2,Southwest,14-2,1,67,15,0.817,67-15,40-1,27-14,6-4,9-1,5-5,1-0,4-4,44-6,39,W 39,6,W 6,13,3,1,W 1,1,W 1,2,W 2,6.0,0.0,1,58-5,8-9,1-1,59-4,6-11,2-0,49-3,11-9,34-13,60-1,51-6,41-11,104.0,93.0,11.0,24-6,9-1,7-3,8-2,43-9,15-3,14-4,14-2,11-2,11-1,13-3,4-3,1-1,13-3,14-2,45-8,San Antonio Spurs,3941.0,108.4,109.3,96.6,98.2,11.8,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,95.7,94.54,78.78,7767,0.578,2,2,2,29,4,1,1,7,2,3,23,4,6,6,2,3,24,1
0,22015,1610612761,Toronto,Raptors,East,39-13,2,Atlantic,14-2,1,56,26,0.683,56-26,32-9,24-17,7-3,8-2,6-4,3-1,6-6,28-10,12,W 12,4,W 4,11,3,4,W 4,2,W 2,4,W 4,1.0,0.0,1,38-8,13-16,5-2,45-6,10-19,1-1,42-15,11-21,28-16,44-2,41-9,22-18,103.0,98.0,5.0,39-13,14-2,11-7,14-4,17-13,5-5,5-5,7-3,12-2,7-4,11-5,6-2,2-0,9-7,9-6,35-17,Toronto Raptors,3956.0,107.0,109.3,102.7,104.8,4.3,4.4,0.511,1.43,14.9,0.3,0.736,0.52,0.139,0.504,0.552,95.3,93.35,77.8,7707,0.525,4,4,4,23,5,12,6,30,24,28,5,7,3,7,12,7,29,8
0,22015,1610612748,Miami,Heat,East,31-21,3,Southeast,10-6,1,48,34,0.585,48-34,28-13,20-21,6-4,9-1,4-6,3-3,7-5,24-20,6,W 6,3,W 3,5,4,6,W 6,-1,L 1,-1,L 1,9.0,0.0,1,30-11,15-21,3-2,33-7,12-26,3-1,32-11,11-23,24-23,42-13,34-14,26-5,100.0,98.0,2.0,31-21,10-8,11-7,10-6,17-13,6-4,5-5,6-4,9-8,6-5,10-5,5-3,1-1,9-5,8-7,29-24,Miami Heat,3966.0,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,7,7,7,11,12,8,11,26,20,20,15,11,8,16,11,13,25,7
0,22015,1610612760,Oklahoma City,Thunder,West,37-15,3,Northwest,13-3,1,55,27,0.671,55-27,32-9,23-18,5-5,7-3,5-5,3-2,8-6,33-5,9,W 9,4,W 4,8,3,6,W 6,-3,L 3,-1,L 1,18.0,0.0,1,42-13,12-14,1-0,48-14,7-13,0-0,52-14,26-22,26-18,48-10,46-15,18-5,110.0,103.0,7.0,18-12,6-4,4-6,8-2,37-15,13-3,12-6,12-6,13-3,6-5,11-5,2-4,2-0,9-7,12-3,40-14,Oklahoma City Thunder,3966.0,109.9,112.1,103.0,104.8,6.9,7.4,0.558,1.44,16.7,0.347,0.72,0.541,0.162,0.524,0.565,99.4,97.54,81.28,8061,0.546,5,5,5,11,2,11,3,21,22,17,1,16,1,28,4,2,10,3
0,22015,1610612737,Atlanta,Hawks,East,29-23,4,Southeast,8-8,2,48,34,0.585,48-34,27-14,21-20,6-4,8-2,6-4,0-5,5-7,29-17,6,W 6,4,W 4,7,3,3,W 3,-3,L 3,-2,L 2,9.0,0.0,1,33-7,15-25,0-2,40-6,8-27,0-1,39-9,15-25,28-19,43-8,20-5,33-15,103.0,99.0,4.0,29-23,11-7,10-8,8-8,19-11,6-4,5-5,8-2,6-9,6-5,12-4,3-3,2-1,10-7,9-5,31-24,Atlanta Hawks,3966.0,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,7,7,7,11,20,2,7,2,7,2,29,26,28,21,6,8,9,6
0,22015,1610612746,LA,Clippers,West,31-21,4,Pacific,9-7,2,53,29,0.646,53-29,29-12,24-17,8-2,8-2,4-6,5-1,8-4,28-15,7,W 7,6,W 6,10,3,7,W 7,-1,L 1,-1,L 1,20.0,20.0,1,38-9,13-17,2-3,47-5,5-24,1-0,42-16,13-26,26-19,46-9,13-3,35-15,105.0,100.0,4.0,22-8,7-3,6-4,9-1,31-21,11-7,9-7,11-7,11-3,7-4,8-8,6-1,3-0,7-8,11-5,35-18,LA Clippers,3966.0,106.5,107.2,100.9,102.7,5.5,4.5,0.596,1.76,17.4,0.234,0.697,0.472,0.133,0.524,0.556,98.0,96.81,80.68,7995,0.533,6,6,6,11,8,5,5,10,3,9,30,27,29,3,5,5,13,4
0,22015,1610612738,Boston,Celtics,East,31-21,5,Atlantic,10-6,2,48,34,0.585,48-34,28-13,20-21,6-4,7-3,4-6,1-2,5-7,26-13,14,W 14,-4,L 4,5,4,1,W 1,-1,L 1,1,W 1,9.0,8.0,1,33-10,12-23,3-1,40-6,7-27,1-1,41-19,15-31,23-25,35-3,30-9,38-22,106.0,103.0,3.0,31-21,10-6,9-9,12-6,17-13,6-4,7-3,4-6,9-8,9-3,7-7,5-2,1-1,9-7,8-6,32-23,Boston Celtics,3956.0,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,7,7,7,23,10,4,8,5,4,10,12,24,18,5,24,21,3,9
0,22015,1610612757,Portland,Trail Blazers,West,29-23,5,Northwest,11-5,2,44,38,0.537,44-38,28-13,16-25,7-3,9-1,2-8,2-3,2-7,23-21,8,W 8,6,W 6,6,7,1,W 1,1,W 1,1,W 1,29.0,11.0,1,35-8,8-29,1-1,35-7,6-30,3-1,40-19,22-33,18-25,34-7,31-14,20-9,105.0,104.0,1.0,15-15,5-5,5-5,5-5,29-23,11-5,10-8,8-10,9-5,9-2,8-8,4-2,1-2,6-9,7-10,27-27,Portland Trail Blazers,3961.0,106.1,107.6,105.6,106.8,0.6,0.8,0.552,1.46,16.0,0.294,0.728,0.51,0.15,0.511,0.548,98.3,97.06,80.88,8012,0.493,12,12,12,19,6,19,13,25,21,23,9,12,9,17,8,10,12,18
