LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22005,1610612759,San Antonio,Spurs,West,42-10,1,Southwest,13-3,1,63,19,0.768,63-19,34-7,29-12,7-3,7-3,8-2,3-2,10-2,31-11,12,W 12,9,W 9,9,2,1,W 1,5,W 5,3,W 3,0.0,0.0,1,44-7,15-11,4-1,58-4,4-14,1-1,27-3,2-9,26-11,53-3,37-6,37-6,96.0,89.0,7.0,21-9,9-1,5-5,7-3,42-10,15-3,14-4,13-3,11-3,9-2,12-4,7-3,,11-3,13-4,40-12,San Antonio Spurs,3961.0,105.2,106.2,96.9,98.7,8.3,7.5,0.574,1.52,17.0,0.289,0.708,0.505,0.153,0.513,0.546,90.6,89.41,74.51,7382,0.554,2,2,2,24,10,1,2,17,5,6,25,7,11,13,3,7,23,2
0,22005,1610612765,Detroit,Pistons,East,39-13,1,Central,13-3,1,64,18,0.78,64-18,37-4,27-14,6-4,8-2,5-5,2-2,7-4,32-8,16,W 16,5,W 5,11,2,-1,L 1,-3,L 3,-2,L 2,0.0,0.0,1,47-7,14-11,3-0,58-5,6-11,0-2,30-3,12-8,28-13,38-4,29-4,42-10,97.0,90.0,7.0,39-13,14-4,13-3,12-6,25-5,7-3,9-1,9-1,13-2,10-3,11-5,6-4,,11-2,13-2,42-9,Detroit Pistons,3966.0,107.7,109.3,100.2,101.7,7.6,7.6,0.661,2.12,18.9,0.317,0.68,0.497,0.128,0.497,0.535,89.3,87.98,73.31,7268,0.557,1,1,1,17,4,5,1,2,1,2,8,23,18,1,7,16,29,1
0,22005,1610612742,Dallas,Mavericks,West,37-15,2,Southwest,13-3,2,60,22,0.732,60-22,34-7,26-15,6-4,7-3,4-6,5-2,11-6,28-10,16,W 16,6,W 6,13,3,-1,L 1,-2,L 2,-1,L 1,3.0,3.0,1,41-8,15-14,4-0,50-4,9-18,1-0,36-9,7-15,23-16,48-4,43-11,33-9,99.0,93.0,6.0,23-7,7-3,7-3,9-1,37-15,15-3,9-9,13-3,13-2,10-1,9-8,6-3,,10-4,12-4,41-11,Dallas Mavericks,3976.0,108.7,109.9,101.9,103.2,6.8,6.7,0.5,1.32,14.6,0.347,0.69,0.522,0.15,0.495,0.55,90.3,89.3,74.42,7397,0.551,3,3,3,9,2,9,3,30,23,28,2,18,2,11,10,5,25,3
0,22005,1610612748,Miami,Heat,East,35-17,2,Southeast,13-3,1,52,30,0.634,52-30,31-10,21-20,4-6,7-3,4-6,3-0,8-4,27-11,9,W 9,6,W 6,10,4,-1,L 1,-2,L 2,-3,L 3,12.0,0.0,1,37-9,15-20,0-1,38-3,11-25,3-2,37-6,12-20,19-21,46-5,40-15,21-4,100.0,96.0,4.0,35-17,13-5,9-9,13-3,17-13,7-3,5-5,5-5,10-5,8-2,12-3,4-7,,9-6,9-7,33-20,Miami Heat,3951.0,106.4,107.5,101.7,103.4,4.7,4.1,0.557,1.43,16.4,0.297,0.726,0.519,0.156,0.517,0.556,93.8,92.56,77.13,7622,0.538,5,5,5,28,7,10,6,19,15,14,19,2,3,16,2,2,12,5
0,22005,1610612739,Cleveland,Cavaliers,East,34-18,3,Central,11-5,2,50,32,0.61,50-32,31-10,19-22,7-3,10-0,5-5,5-0,9-4,20-11,11,W 11,4,W 4,9,6,11,W 11,1,W 1,2,W 2,14.0,14.0,1,35-9,14-23,1-0,35-3,14-28,1-1,31-6,11-15,23-19,37-8,36-12,27-10,98.0,95.0,2.0,34-18,12-6,11-5,11-7,16-14,6-4,4-6,6-4,8-7,6-8,10-4,8-3,,10-4,8-6,31-21,Cleveland Cavaliers,3966.0,105.2,106.6,102.6,104.4,2.5,2.1,0.536,1.37,15.3,0.313,0.717,0.514,0.151,0.492,0.538,92.2,90.77,75.64,7510,0.51,6,6,6,17,9,15,8,24,21,24,10,4,6,12,13,12,20,13
0,22005,1610612756,Phoenix,Suns,West,32-20,3,Pacific,10-6,1,54,28,0.659,54-28,31-10,23-18,5-5,8-2,4-6,1-4,0-7,34-9,8,W 8,6,W 6,11,3,3,W 3,1,W 1,2,W 2,9.0,0.0,1,43-11,10-16,1-1,44-7,7-21,3-0,49-18,21-25,25-19,48-6,19-3,34-17,108.0,103.0,6.0,22-8,8-2,6-4,8-2,32-20,12-6,10-6,10-8,10-6,9-1,11-6,5-5,,8-5,11-5,35-17,Phoenix Suns,3991.0,109.4,110.2,102.9,104.7,6.4,5.4,0.635,2.0,19.5,0.256,0.69,0.48,0.135,0.537,0.568,98.1,96.92,80.77,8067,0.547,4,4,4,1,1,16,4,4,2,1,30,19,28,2,1,1,1,4
0,22005,1610612743,Denver,Nuggets,West,25-27,4,Northwest,10-6,1,44,38,0.537,44-38,26-15,18-23,4-6,7-3,4-6,4-4,12-8,22-20,6,W 6,4,W 4,7,4,-2,L 2,-2,L 2,-4,L 4,19.0,0.0,0,31-12,13-25,0-1,35-8,7-28,2-2,33-13,13-30,18-26,36-8,26-9,25-21,100.0,100.0,0.0,19-11,6-4,6-4,7-3,25-27,10-6,6-12,9-9,11-5,5-5,11-5,3-6,,8-8,6-9,28-26,Denver Nuggets,3986.0,102.8,104.4,102.1,104.1,0.7,0.3,0.624,1.58,17.6,0.3,0.682,0.494,0.154,0.488,0.535,96.6,94.9,79.08,7877,0.512,11,11,11,3,17,13,15,5,4,4,16,22,23,14,15,17,2,12
0,22005,1610612751,New Jersey,Nets,East,33-19,4,Atlantic,10-6,1,49,33,0.598,49-33,29-12,20-21,5-5,7-3,7-3,3-1,8-6,21-17,12,W 12,6,W 6,14,4,-1,L 1,-1,L 1,-2,L 2,15.0,0.0,1,34-8,11-25,4-0,40-1,7-31,2-1,19-5,8-14,20-19,35-3,29-6,22-19,94.0,92.0,1.0,33-19,10-6,9-9,14-4,16-14,6-4,5-5,5-5,6-8,8-5,12-3,6-5,,7-8,10-4,28-23,New Jersey Nets,3956.0,101.5,102.4,99.8,100.9,1.7,1.5,0.678,1.68,18.2,0.274,0.73,0.501,0.149,0.478,0.528,92.0,91.17,75.98,7513,0.513,7,7,7,27,24,3,13,1,3,3,29,1,13,8,25,22,18,11
0,22005,1610612763,Memphis,Grizzlies,West,31-21,5,Southwest,6-10,3,49,33,0.598,49-33,30-11,19-22,8-2,9-1,5-5,2-3,6-10,30-13,6,W 6,3,W 3,7,5,5,W 5,3,W 3,5,W 5,14.0,14.0,1,36-10,10-21,3-2,45-10,4-22,0-1,18-5,3-9,21-23,41-7,27-6,30-17,92.0,88.0,4.0,18-12,6-4,4-6,8-2,31-21,12-6,13-5,6-10,7-8,5-8,10-6,8-1,,10-5,9-5,29-23,Memphis Grizzlies,3971.0,103.0,104.5,99.2,100.4,3.8,4.1,0.578,1.4,16.1,0.298,0.69,0.496,0.157,0.496,0.537,88.6,87.39,72.83,7232,0.516,7,7,7,13,16,2,5,15,18,15,17,20,20,19,8,15,30,8
0,22005,1610612764,Washington,Wizards,East,29-23,5,Southeast,8-8,2,42,40,0.512,42-40,27-14,15-26,5-5,6-4,4-6,3-2,5-8,24-16,9,W 9,1,W 1,5,5,2,W 2,1,W 1,3,W 3,22.0,10.0,1,31-12,10-26,1-2,38-10,3-29,1-1,28-16,11-30,17-23,29-3,27-7,31-24,102.0,100.0,2.0,29-23,11-7,10-8,8-8,13-17,5-5,6-4,2-8,9-6,8-4,8-8,5-6,,7-7,5-9,26-25,Washington Wizards,3966.0,106.0,107.7,104.7,105.8,1.3,1.9,0.512,1.33,14.5,0.329,0.679,0.499,0.148,0.484,0.538,94.9,93.68,78.06,7742,0.503,13,13,13,17,6,22,10,29,22,29,7,24,15,5,21,14,6,14
