LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22018,1610612744,Golden State,Warriors,West,35-17,1,Pacific,13-3,1,57,25,0.695,57-25,30-11,27-14,8-2,7-3,7-3,0-5,7-7,34-10,6,W 6,11,W 11,11,4,5,W 5,-1,L 1,-1,L 1,0.0,0.0,1,43-6,11-19,3-0,49-5,8-19,0-1,57-17,47-25,35-16,52-9,40-6,27-5,118.0,111.0,6.0,22-8,6-4,8-2,8-2,35-17,12-6,13-3,10-8,11-2,7-4,9-5,5-1,8-1,7-7,10-5,41-16,Golden State Warriors,3961.0,113.9,115.0,106.5,108.6,7.5,6.5,0.668,2.06,20.4,0.257,0.727,0.505,0.139,0.565,0.596,103.2,101.74,84.78,8390,0.546,3,3,3,15,1,11,2,1,1,1,23,17,10,16,1,1,10,2
0,22018,1610612749,Milwaukee,Bucks,East,40-12,1,Central,14-2,1,60,22,0.732,60-22,33-8,27-14,7-3,7-3,5-5,1-3,5-6,45-5,6,W 6,10,W 10,7,2,-1,L 1,2,W 2,-1,L 1,0.0,0.0,1,47-7,13-15,0-0,51-3,8-18,1-1,59-18,40-21,27-12,57-3,45-8,28-6,118.0,109.0,9.0,40-12,13-5,14-2,13-5,20-10,6-4,6-4,8-2,12-3,10-1,10-6,3-2,7-0,8-6,10-4,43-14,Milwaukee Bucks,3956.0,111.5,113.5,103.0,104.9,8.5,8.6,0.601,1.88,18.3,0.25,0.757,0.516,0.133,0.55,0.583,105.4,103.57,86.31,8533,0.553,1,1,1,18,4,1,1,15,10,10,26,2,5,7,2,2,5,1
0,22018,1610612743,Denver,Nuggets,West,34-18,2,Northwest,12-4,1,54,28,0.659,54-28,34-7,20-21,5-5,7-3,4-6,2-0,13-3,23-11,12,W 12,5,W 5,7,4,3,W 3,-3,L 3,1,W 1,3.0,0.0,1,40-5,14-22,0-1,43-1,7-26,4-1,50-20,29-26,32-19,42-4,40-11,26-14,111.0,107.0,4.0,20-10,7-3,6-4,7-3,34-18,12-4,12-6,10-8,12-4,7-4,9-6,3-3,6-1,9-6,8-4,39-18,Denver Nuggets,3946.0,109.8,112.1,106.8,108.1,3.0,4.0,0.653,2.04,19.3,0.308,0.744,0.524,0.136,0.527,0.558,100.1,98.49,82.08,8096,0.524,4,4,4,27,7,10,8,2,3,2,1,5,2,11,15,14,26,8
0,22018,1610612761,Toronto,Raptors,East,36-16,2,Atlantic,12-4,1,58,24,0.707,58-24,32-9,26-15,7-3,7-3,7-3,4-3,11-7,33-9,10,W 10,5,W 5,8,3,3,W 3,1,W 1,2,W 2,2.0,0.0,1,45-4,13-19,0-1,50-6,7-18,1-0,55-18,44-23,26-17,47-10,30-7,33-11,114.0,108.0,6.0,36-16,12-4,10-8,14-4,22-8,6-4,10-0,6-4,10-5,8-1,9-6,4-1,7-1,12-3,8-7,43-16,Toronto Raptors,3976.0,110.9,112.6,104.3,106.8,6.5,5.8,0.603,1.81,18.2,0.265,0.726,0.502,0.138,0.543,0.579,102.5,100.51,83.76,8334,0.533,2,2,2,4,5,5,3,14,13,11,19,18,13,14,3,4,15,4
0,22018,1610612757,Portland,Trail Blazers,West,29-23,3,Northwest,6-10,2,53,29,0.646,53-29,32-9,21-20,8-2,9-1,6-4,4-2,4-6,29-8,8,W 8,-6,L 6,6,3,8,W 8,1,W 1,3,W 3,4.0,1.0,1,41-10,10-18,2-1,48-4,5-25,0-0,51-23,39-27,28-19,41-5,43-18,18-8,115.0,110.0,4.0,24-6,9-1,8-2,7-3,29-23,6-10,12-6,11-7,11-4,6-3,10-5,5-1,5-2,8-7,8-7,34-23,Portland Trail Blazers,3971.0,111.4,113.7,108.1,109.5,3.3,4.2,0.544,1.66,16.6,0.308,0.739,0.526,0.137,0.528,0.568,101.6,99.96,83.3,8269,0.521,5,5,5,7,3,16,7,27,18,24,2,8,1,12,13,9,18,9
0,22018,1610612755,Philadelphia,76ers,East,31-21,3,Atlantic,8-8,2,51,31,0.622,51-31,31-10,20-21,4-6,7-3,4-6,2-3,10-8,22-16,10,W 10,-5,L 5,6,3,1,W 1,-1,L 1,1,W 1,9.0,7.0,1,42-7,6-22,3-2,43-6,7-24,1-1,51-24,39-31,27-19,40-11,41-16,19-3,115.0,112.0,3.0,31-21,8-8,12-6,11-7,20-10,6-4,8-2,6-4,11-4,6-4,9-5,2-4,4-4,12-4,7-6,37-21,Philadelphia 76ers,3961.0,110.4,111.6,107.1,109.0,3.3,2.6,0.648,1.8,18.7,0.278,0.741,0.517,0.144,0.532,0.574,104.0,102.59,85.49,8467,0.529,7,7,7,15,8,14,11,3,14,5,11,7,4,24,8,6,8,6
0,22018,1610612745,Houston,Rockets,West,32-20,4,Southwest,10-6,1,53,29,0.646,53-29,31-10,22-19,8-2,9-1,7-3,2-4,5-7,29-12,10,W 10,6,W 6,9,4,7,W 7,-1,L 1,-1,L 1,4.0,0.0,1,37-10,15-19,1-0,42-6,10-21,1-2,50-20,38-27,26-17,28-5,26-3,36-17,114.0,109.0,5.0,21-9,8-2,6-4,7-3,32-20,8-10,14-4,10-6,8-6,8-4,12-3,4-1,1-5,9-6,11-4,33-24,Houston Rockets,3966.0,112.5,114.9,107.9,110.1,4.6,4.8,0.541,1.59,15.9,0.269,0.7,0.481,0.135,0.542,0.581,100.4,98.39,81.99,8130,0.498,5,5,5,11,2,17,5,28,24,28,16,29,28,9,4,3,27,17
0,22018,1610612738,Boston,Celtics,East,35-17,4,Atlantic,10-6,3,49,33,0.598,49-33,28-13,21-20,6-4,5-5,6-4,4-0,5-6,24-12,10,W 10,4,W 4,8,4,-1,L 1,3,W 3,1,W 1,11.0,9.0,1,38-11,9-21,2-1,42-5,7-26,0-2,49-24,33-29,24-21,41-9,28-6,30-19,112.0,108.0,4.0,35-17,10-6,13-5,12-6,14-16,4-6,5-5,5-5,11-4,5-6,8-7,4-1,5-2,7-8,9-5,37-21,Boston Celtics,3956.0,110.1,111.3,104.9,107.0,5.1,4.3,0.624,2.05,18.8,0.257,0.728,0.495,0.127,0.534,0.567,102.0,100.43,83.69,8282,0.53,9,9,9,18,10,6,6,8,2,4,24,15,23,3,7,10,16,5
0,22018,1610612754,Indiana,Pacers,East,33-19,5,Central,11-5,2,48,34,0.585,48-34,29-12,19-22,4-6,6-4,2-8,1-0,6-6,23-16,5,W 5,-10,L 10,7,4,-2,L 2,2,W 2,1,W 1,12.0,12.0,1,37-9,10-23,1-2,44-10,3-24,1-0,43-17,23-31,17-21,43-7,26-10,37-17,108.0,105.0,3.0,33-19,9-9,11-5,13-5,15-15,5-5,5-5,5-5,7-7,9-3,4-10,3-2,5-3,8-6,12-3,38-20,Indiana Pacers,3941.0,107.3,109.4,104.2,106.0,3.1,3.4,0.628,1.9,18.9,0.269,0.722,0.499,0.139,0.53,0.561,100.4,98.64,82.2,8097,0.527,11,11,11,30,18,3,9,7,8,3,15,22,18,15,10,13,25,7
0,22018,1610612762,Utah,Jazz,West,30-22,5,Northwest,8-8,3,50,32,0.61,50-32,29-12,21-20,8-2,8-2,6-4,0-2,0-7,34-12,8,W 8,-5,L 5,7,4,8,W 8,-2,L 2,-1,L 1,7.0,4.0,1,42-10,8-21,0-1,45-9,4-23,1-0,48-20,28-28,20-23,44-4,38-11,16-12,112.0,106.0,5.0,20-10,6-4,7-3,7-3,30-22,8-8,12-6,10-8,11-4,6-3,11-4,4-2,4-3,7-9,7-7,32-25,Utah Jazz,3951.0,108.8,110.3,103.2,105.3,5.5,5.0,0.644,1.72,18.5,0.275,0.759,0.522,0.149,0.538,0.572,102.5,100.84,84.03,8308,0.539,8,8,8,24,14,2,4,4,15,8,12,1,3,27,5,7,14,3
