LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22021,1610612748,Miami,Heat,East,35-17,1,Southeast,13-3,1,53,29,0.646,53-29,29-12,24-17,6-4,6-4,7-3,1-3,3-6,31-15,7,W 7,6,W 6,6,4,3,W 3,-1,L 1,-1,L 1,0.0,0.0,1,41-11,11-17,1-1,46-5,7-23,0-1,51-17,30-28,28-20,49-6,36-8,25-9,110.0,106.0,4.0,35-17,10-8,12-6,13-3,18-12,6-4,4-6,8-2,9-6,9-2,8-7,4-1,5-1,8-7,10-5,38-21,Miami Heat,3971.0,111.2,113.0,106.3,108.4,4.9,4.5,0.644,1.75,18.8,0.278,0.735,0.51,0.149,0.547,0.584,98.2,96.53,80.44,7987,0.529,3,3,3,5,12,4,6,5,19,6,10,9,9,28,5,3,28,5
0,22021,1610612756,Phoenix,Suns,West,39-13,1,Pacific,10-6,1,64,18,0.78,64-18,32-9,32-9,6-4,6-4,7-3,2-0,6-2,37-9,15,W 15,8,W 8,18,2,-1,L 1,1,W 1,-1,L 1,0.0,0.0,1,49-6,15-12,0-0,47-0,17-17,0-1,61-14,42-18,32-10,57-5,41-2,34-13,115.0,107.0,8.0,25-5,8-2,9-1,8-2,39-13,14-4,10-6,15-3,13-1,9-3,13-2,2-4,2-3,16-0,9-5,48-10,Phoenix Suns,3946.0,112.5,114.2,104.7,106.8,7.8,7.5,0.627,2.12,19.5,0.264,0.728,0.503,0.129,0.549,0.581,102.0,100.26,83.55,8242,0.548,1,1,1,24,5,3,1,7,3,5,21,13,13,4,4,5,8,1
0,22021,1610612738,Boston,Celtics,East,33-19,2,Atlantic,9-7,1,51,31,0.622,51-31,28-13,23-18,7-3,8-2,7-3,4-3,3-9,35-9,5,W 5,7,W 7,9,3,2,W 2,1,W 1,1,W 1,2.0,0.0,1,41-9,10-22,0-0,45-7,6-23,0-1,46-20,26-26,27-21,47-7,39-11,26-13,112.0,104.0,7.0,33-19,9-7,12-6,12-6,18-12,7-3,5-5,6-4,10-6,9-2,11-3,4-1,2-4,9-6,6-9,34-26,Boston Celtics,3981.0,112.1,113.6,104.0,106.2,8.1,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,99.0,97.26,81.05,8068,0.547,6,6,6,2,9,1,2,14,11,10,11,16,10,13,9,9,24,2
0,22021,1610612763,Memphis,Grizzlies,West,36-16,2,Southwest,11-5,1,56,26,0.683,56-26,30-11,26-15,7-3,9-1,5-5,2-2,5-3,33-17,10,W 10,6,W 6,11,3,-1,L 1,-2,L 2,-1,L 1,8.0,0.0,1,50-9,6-16,0-1,47-3,9-21,0-2,54-18,43-26,24-14,45-0,52-11,34-17,116.0,110.0,6.0,20-10,6-4,9-1,5-5,36-16,10-8,15-3,11-5,12-4,8-2,11-3,2-3,3-3,8-7,12-4,41-19,Memphis Grizzlies,3956.0,111.6,114.3,106.2,108.9,5.4,5.3,0.597,1.97,17.9,0.338,0.726,0.526,0.13,0.522,0.553,103.1,100.52,83.77,8295,0.53,2,2,2,13,4,6,5,19,5,15,1,15,1,8,23,24,4,4
0,22021,1610612749,Milwaukee,Bucks,East,33-19,3,Central,12-4,1,51,31,0.622,51-31,27-14,24-17,6-4,7-3,6-4,1-2,4-2,31-15,9,W 9,4,W 4,8,3,1,W 1,-1,L 1,-1,L 1,2.0,0.0,1,43-11,8-20,0-0,42-1,8-29,1-1,49-21,40-30,25-21,44-3,42-8,22-13,115.0,112.0,3.0,33-19,10-8,12-4,11-7,18-12,5-5,7-3,6-4,7-8,6-4,11-3,3-3,3-4,10-4,11-5,36-24,Milwaukee Bucks,3951.0,112.5,114.3,109.4,111.1,3.1,3.2,0.572,1.78,17.3,0.269,0.747,0.512,0.133,0.546,0.58,102.2,100.59,83.83,8284,0.516,6,6,6,19,3,14,8,28,15,21,16,2,6,10,6,7,3,10
0,22021,1610612744,Golden State,Warriors,West,33-19,3,Pacific,12-4,2,53,29,0.646,53-29,31-10,22-19,6-4,5-5,5-5,0-2,6-5,34-10,11,W 11,4,W 4,9,5,2,W 2,3,W 3,5,W 5,11.0,11.0,1,36-7,16-21,1-1,44-9,7-19,2-1,51-18,29-26,27-17,46-11,38-10,25-9,111.0,105.0,6.0,20-10,6-4,8-2,6-4,33-19,12-6,12-4,9-9,11-6,5-5,5-11,5-0,5-1,13-2,9-4,42-17,Golden State Warriors,3946.0,110.5,112.1,103.9,106.6,6.5,5.5,0.669,1.82,19.5,0.269,0.736,0.51,0.15,0.552,0.582,100.7,98.74,82.28,8121,0.536,3,3,3,24,16,2,4,1,12,3,15,6,8,29,3,4,15,3
0,22021,1610612755,Philadelphia,76ers,East,32-20,4,Atlantic,6-10,2,51,31,0.622,51-31,24-17,27-14,6-4,6-4,6-4,3-1,6-6,28-11,4,W 4,7,W 7,7,5,3,W 3,-1,L 1,2,W 2,2.0,0.0,1,37-11,13-19,1-1,41-8,9-23,1-0,50-15,34-27,28-23,42-6,25-6,27-18,110.0,107.0,3.0,32-20,6-10,14-4,12-6,19-11,5-5,6-4,8-2,12-3,6-4,9-7,5-1,4-2,7-8,8-6,35-23,Philadelphia 76ers,3961.0,111.0,113.0,108.3,110.2,2.7,2.8,0.602,1.89,17.9,0.246,0.724,0.49,0.129,0.534,0.578,98.4,96.71,80.59,7975,0.517,6,6,6,8,11,12,9,15,8,16,30,19,20,5,16,10,26,8
0,22021,1610612742,Dallas,Mavericks,West,36-16,4,Southwest,14-2,2,52,30,0.634,52-30,29-12,23-18,8-2,9-1,6-4,1-2,7-5,27-14,6,W 6,5,W 5,6,3,6,W 6,2,W 2,4,W 4,12.0,4.0,1,34-9,17-20,1-1,45-6,6-22,1-2,49-14,29-26,24-20,41-0,31-5,27-14,108.0,105.0,3.0,16-14,6-4,6-4,4-6,36-16,12-6,10-8,14-2,12-4,7-3,12-4,4-1,4-2,6-7,7-9,35-24,Dallas Mavericks,3951.0,110.5,112.5,106.8,109.1,3.7,3.5,0.595,1.87,17.8,0.256,0.733,0.496,0.13,0.538,0.572,97.5,95.64,79.7,7871,0.511,5,5,5,19,14,7,7,20,9,18,23,10,16,7,13,14,30,12
0,22021,1610612762,Utah,Jazz,West,33-19,5,Northwest,15-1,1,49,33,0.598,49-33,29-12,20-21,4-6,8-2,2-8,2-0,1-6,34-10,9,W 9,10,W 10,8,5,-1,L 1,1,W 1,1,W 1,15.0,0.0,1,39-13,9-20,1-0,45-13,2-20,2-0,49-25,35-31,24-20,43-8,42-15,13-7,114.0,108.0,6.0,16-14,7-3,4-6,5-5,33-19,15-1,9-9,9-9,4-12,8-1,8-9,3-2,5-1,9-6,12-2,36-22,Utah Jazz,3946.0,114.0,116.2,107.7,110.0,6.2,6.2,0.552,1.6,16.7,0.3,0.738,0.525,0.143,0.555,0.589,99.5,97.5,81.25,8014,0.528,9,9,9,24,1,10,3,29,27,27,5,5,2,22,2,2,23,6
0,22021,1610612761,Toronto,Raptors,East,30-22,5,Atlantic,10-6,3,48,34,0.585,48-34,24-17,24-17,8-2,7-3,7-3,3-2,7-6,25-14,5,W 5,6,W 6,8,3,3,W 3,-1,L 1,-1,L 1,5.0,3.0,1,33-9,15-25,0-0,38-6,9-27,1-1,44-17,35-31,29-19,28-5,31-10,37-21,109.0,107.0,2.0,30-22,10-6,8-10,12-6,18-12,5-5,7-3,6-4,10-6,8-4,11-5,4-2,4-3,5-10,6-4,32-25,Toronto Raptors,3971.0,109.6,112.1,107.9,109.9,1.7,2.2,0.543,1.77,16.1,0.325,0.714,0.508,0.128,0.51,0.543,98.6,96.63,80.53,8000,0.494,10,10,10,5,15,9,12,30,17,30,2,23,11,3,27,27,27,21
